Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1998,5.25,5.58,6,6,6,6,7,7.75,6.70,6,5.62,5
1999,5,4.75,4.50,4.50,4.50,4.20,4,3.62,3.50,4.62,5,5
2000,5.12,5.40,5.17,6,7.40,8.75,8.75,7.80,8,6.75,6.20,6.40
2001,6.50,6.75,7.25,7.25,9,8.75,9.50,9.70,10.12,9,8.62,7.50
2002,7.62,8.25,8.12,8.56,8.75,9,"
","
","
","
","
","
"
2005,"
",5,5,5,5.62,7.50,8.25,8.40,9,10,10,10
2006,9.80,8.83,9.40,10,10,10,10,10,10,9,7,5
2007,5,5.12,5,5,5,5.75,6,6,6,6,6,6
2008,7,7.50,8,8.80,11,11,12,"
","
",10,10,11
2009,12.33,12,12,13.20,13.25,13.50,13.60,14,15.75,14.25,12,13
2010,12.50,12.12,11.40,12,11.50,10,10,9,8.40,9,7.33,7
2011,7,7.25,8,7.62,7.50,7.80,8.75,10,14,14,14.60,17.25
2012,18.50,20,22,24,28,26,26.50,25.60,22,18.40,17.50,18
2013,18,18,18.75,19,18,16,13,12.75,12,12,12,12
2014,10,10,10,6.80,6,6,6,6,7,10,10,10
2015,10,10,10,10,10,10,10,8.50,7,7.75,10.50,14.60
2016,13.50,14,15.20,16,15.50,14,14,14,14,14,14,14.50
2017,16,16,16.40,18,18,19.50,20,20,19,18,13.20,12.50
2018,14,14,14,14,14,14,14,12.80,12,12,12,12
2019,12,14,14,14,14,12,12,12,13,16,16,20
2020,20,20,21,28.80,30,"
","
","
",30,28,21.50,22
2021,22,22,22,22,22,23.60,24,24,24,24,24,"
"
2022,18,18,"
","
","
","
",20,22,22,22,22,21
2023,21,22,22,24,24,24.25,22,23.60,26.25,28.75,29.60,29
2024,29.80,31,30,30,32.50,35,"
",30,"
","
","
","
"
