date,price
1998-01-15,5.25
1998-02-15,5.58
1998-03-15,6.0
1998-04-15,6.0
1998-05-15,6.0
1998-06-15,6.0
1998-07-15,7.0
1998-08-15,7.75
1998-09-15,6.7
1998-10-15,6.0
1998-11-15,5.62
1998-12-15,5.0
1999-01-15,5.0
1999-02-15,4.75
1999-03-15,4.5
1999-04-15,4.5
1999-05-15,4.5
1999-06-15,4.2
1999-07-15,4.0
1999-08-15,3.62
1999-09-15,3.5
1999-10-15,4.62
1999-11-15,5.0
1999-12-15,5.0
2000-01-15,5.12
2000-02-15,5.4
2000-03-15,5.17
2000-04-15,6.0
2000-05-15,7.4
2000-06-15,8.75
2000-07-15,8.75
2000-08-15,7.8
2000-09-15,8.0
2000-10-15,6.75
2000-11-15,6.2
2000-12-15,6.4
2001-01-15,6.5
2001-02-15,6.75
2001-03-15,7.25
2001-04-15,7.25
2001-05-15,9.0
2001-06-15,8.75
2001-07-15,9.5
2001-08-15,9.7
2001-09-15,10.12
2001-10-15,9.0
2001-11-15,8.62
2001-12-15,7.5
2002-01-15,7.62
2002-02-15,8.25
2002-03-15,8.12
2002-04-15,8.56
2002-05-15,8.75
2002-06-15,9.0
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2005-01-15,
2005-02-15,5.0
2005-03-15,5.0
2005-04-15,5.0
2005-05-15,5.62
2005-06-15,7.5
2005-07-15,8.25
2005-08-15,8.4
2005-09-15,9.0
2005-10-15,10.0
2005-11-15,10.0
2005-12-15,10.0
2006-01-15,9.8
2006-02-15,8.83
2006-03-15,9.4
2006-04-15,10.0
2006-05-15,10.0
2006-06-15,10.0
2006-07-15,10.0
2006-08-15,10.0
2006-09-15,10.0
2006-10-15,9.0
2006-11-15,7.0
2006-12-15,5.0
2007-01-15,5.0
2007-02-15,5.12
2007-03-15,5.0
2007-04-15,5.0
2007-05-15,5.0
2007-06-15,5.75
2007-07-15,6.0
2007-08-15,6.0
2007-09-15,6.0
2007-10-15,6.0
2007-11-15,6.0
2007-12-15,6.0
2008-01-15,7.0
2008-02-15,7.5
2008-03-15,8.0
2008-04-15,8.8
2008-05-15,11.0
2008-06-15,11.0
2008-07-15,12.0
2008-08-15,
2008-09-15,
2008-10-15,10.0
2008-11-15,10.0
2008-12-15,11.0
2009-01-15,12.33
2009-02-15,12.0
2009-03-15,12.0
2009-04-15,13.2
2009-05-15,13.25
2009-06-15,13.5
2009-07-15,13.6
2009-08-15,14.0
2009-09-15,15.75
2009-10-15,14.25
2009-11-15,12.0
2009-12-15,13.0
2010-01-15,12.5
2010-02-15,12.12
2010-03-15,11.4
2010-04-15,12.0
2010-05-15,11.5
2010-06-15,10.0
2010-07-15,10.0
2010-08-15,9.0
2010-09-15,8.4
2010-10-15,9.0
2010-11-15,7.33
2010-12-15,7.0
2011-01-15,7.0
2011-02-15,7.25
2011-03-15,8.0
2011-04-15,7.62
2011-05-15,7.5
2011-06-15,7.8
2011-07-15,8.75
2011-08-15,10.0
2011-09-15,14.0
2011-10-15,14.0
2011-11-15,14.6
2011-12-15,17.25
2012-01-15,18.5
2012-02-15,20.0
2012-03-15,22.0
2012-04-15,24.0
2012-05-15,28.0
2012-06-15,26.0
2012-07-15,26.5
2012-08-15,25.6
2012-09-15,22.0
2012-10-15,18.4
2012-11-15,17.5
2012-12-15,18.0
2013-01-15,18.0
2013-02-15,18.0
2013-03-15,18.75
2013-04-15,19.0
2013-05-15,18.0
2013-06-15,16.0
2013-07-15,13.0
2013-08-15,12.75
