Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1998,5,5,5,5,7,7.50,8.30,7.88,6.90,6.25,5.25,5
1999,4.88,4.25,4,4,4,3.70,3.25,3,3.30,3.88,4.12,4
2000,3.88,3.50,3.50,3.50,4.30,4.17,4.38,7.10,6.25,5.62,4.32,4.25
2001,4.60,6,6,6,6,6.75,9.38,10,9.10,8.88,9,9
2002,7.38,8.88,8.62,9.20,8.98,8.90,"
","
","
","
","
","
"
2005,5.50,5.50,"
","
","
","
","
",8,7.75,8.75,10,10
2006,6.20,7,7,7,7,7.50,7,9,7,5,5,5
2007,5,5,5,5,5,5,5,5,5,5,5.75,6
2008,6,6.50,7,7.60,9,10.50,11.60,10,12,12,10.25,10.67
2009,12.75,13,13,14.20,14.25,14,13.40,13.33,15.20,12.25,11.50,11
2010,11,10.25,10.40,10.50,10,10,10,9.25,7.80,7.33,7.75,7.60
2011,7,7.25,8,7.62,7.50,7.80,8.75,10.20,15,15,15.40,18
2012,19.50,20,24,25,27,24,27.25,26.20,20.50,17,15.50,15
2013,14.20,13,13.75,14,13,13,13,13.75,14,14,14,14
2014,10,10,12,10.40,10,10,10,10,11,11.20,10,10
2015,10,10,10,10,10,12,12,11.75,11,11.25,12,13.40
2016,15.50,16,16.90,17.50,17.50,16.80,17.75,18,18,17.12,15.50,17.75
2017,17,17.25,18.40,20,19.80,20,20,19.90,20,19.12,14.50,14
2018,15.20,16,15.50,14,14,14,14,14,14,14.80,13.75,13.88
2019,13.80,13,12.50,12,12,12.25,13,13,19,17.80,18,19.60
2020,21.50,21.50,23.25,27.60,28.25,"
",35,"
",29.20,19.75,22.75,24
2021,25,24.50,25.68,24.52,24,24,24,24,24,19.50,18,16
2022,16.50,15,17.40,18,18,19.60,20,25.20,26,24,25.80,25.50
2023,25.50,23.50,22.80,24,25.20,25,23,24.80,28,30.50,31,29.75
2024,29.80,29.62,28.88,29.60,30.50,30,29.60,29.50,28.25,26.20,"
","
"
