,Date,Price
0,200-sep.-15,"2.506,02"
1,200-oct.-15,"2.766,37"
2,200-nov.-15,"2.556,41"
3,200-dic.-15,"2.076,20"
4,200-ene.-15,"2.078,06"
5,200-feb.-15,"2.069,59"
6,200-mar.-15,"2.420,39"
7,200-abr.-15,"2.690,27"
8,200-may.-15,"2.808,12"
9,200-jun.-15,"2.354,28"
10,200-jul.-15,"2.372,24"
11,200-ago.-15,"2.229,31"
12,200-sep.-15,"2.266,64"
13,200-oct.-15,"2.336,29"
14,200-nov.-15,"2.507,05"
15,200-dic.-15,"2.273,91"
16,200-ene.-15,"2.133,27"
17,200-feb.-15,"2.241,70"
18,200-mar.-15,"2.615,16"
19,200-abr.-15,"2.734,64"
20,200-may.-15,"2.543,22"
21,200-jun.-15,"2.391,75"
22,200-jul.-15,"2.257,58"
23,200-ago.-15,"2.288,55"
24,200-sep.-15,"2.364,44"
25,200-oct.-15,"2.278,83"
26,200-nov.-15,"2.479,60"
27,200-dic.-15,"2.729,69"
28,200-ene.-15,"2.902,51"
29,200-feb.-15,"3.293,12"
30,200-mar.-15,"3.534,57"
31,200-abr.-15,"3.195,35"
32,200-may.-15,"3.171,28"
33,200-jun.-15,"3.162,51"
34,200-jul.-15,"2.913,94"
35,200-ago.-15,"2.878,82"
36,200-sep.-15,"3.365,03"
37,200-oct.-15,"3.503,91"
38,200-nov.-15,"3.987,27"
39,200-dic.-15,"4.358,42"
40,200-ene.-15,"4.109,04"
41,200-feb.-15,"3.532,82"
42,200-mar.-15,"3.983,13"
43,200-abr.-15,"4.861,00"
44,200-may.-15,"6.613,28"
45,200-jun.-15,"6.631,35"
46,200-jul.-15,"7.495,64"
47,200-ago.-15,"7.934,87"
48,200-sep.-15,"7.924,22"
49,200-oct.-15,"7.263,05"
50,200-nov.-15,"3.767,06"
51,200-dic.-15,"3.221,43"
52,200-ene.-15,"3.799,42"
53,200-feb.-15,"4.105,31"
54,200-mar.-15,"3.947,08"
55,200-abr.-15,"3.300,74"
56,200-may.-15,"3.109,54"
57,200-jun.-15,"3.199,01"
58,200-jul.-15,"3.257,82"
59,200-ago.-15,"3.271,52"
60,200-sep.-15,"3.117,62"
61,200-oct.-15,"3.106,44"
62,200-nov.-15,"3.192,13"
63,200-dic.-15,"3.370,13"
64,201-ene.-15,"3.411,69"
65,201-feb.-15,"3.850,37"
66,201-mar.-15,"3.507,58"
67,201-abr.-15,"3.104,76"
68,201-may.-15,"2.979,81"
69,201-jun.-15,"2.877,75"
70,201-jul.-15,"3.324,00"
71,201-ago.-15,"3.366,95"
72,201-sep.-15,"3.949,65"
73,201-oct.-15,"4.135,68"
74,201-nov.-15,"4.504,77"
75,201-dic.-15,"4.715,84"
76,201-ene.-15,"4.592,54"
77,201-feb.-15,"3.592,75"
78,201-mar.-15,"3.347,01"
79,201-abr.-15,"2.971,51"
80,201-may.-15,"2.727,33"
81,201-jun.-15,"5.649,98"
82,201-jul.-15,"5.646,81"
83,201-ago.-15,"5.809,77"
84,201-sep.-15,"6.661,07"
85,201-oct.-15,"6.640,95"
86,201-nov.-15,"6.564,56"
87,201-dic.-15,"5.820,28"
88,201-ene.-15,"4.933,31"
89,201-feb.-15,"4.795,38"
90,201-mar.-15,"5.010,86"
91,201-abr.-15,"6.463,46"
92,201-may.-15,"6.992,04"
93,201-jun.-15,"6.365,16"
94,201-jul.-15,"4.110,37"
95,201-ago.-15,"5.041,82"
96,201-sep.-15,"4.970,89"
97,201-oct.-15,"4.489,60"
98,201-nov.-15,"5.025,15"
99,201-dic.-15,"4.836,02"
100,201-ene.-15,"4.827,44"
101,201-feb.-15,"5.286,39"
102,201-mar.-15,"4.954,01"
103,201-abr.-15,"4.463,01"
104,201-may.-15,"4.405,93"
105,201-jun.-15,"4.267,44"
106,201-jul.-15,"3.983,15"
107,201-ago.-15,"4.006,46"
108,201-sep.-15,"3.930,33"
109,201-oct.-15,"3.858,53"
110,201-nov.-15,"3.988,68"
111,201-dic.-15,"3.968,55"
112,201-ene.-15,"4.359,29"
113,201-feb.-15,"4.692,91"
114,201-mar.-15,"4.320,73"
