COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32123 
 NOMBRE    : MESILLAS 
 ESTADO    : ZACATECAS 
 MUNICIPIO : SOMBRERETE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.47388889 ° 
 LONGITUD  : -103.5813889 ° 
 ALTITUD   : 2181 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1980-04-24	0	NULO	NULO	NULO
1980-04-25	0	NULO	23	7
1980-04-26	0	NULO	22	6
1980-04-27	0	NULO	22	5
1980-04-28	0	NULO	22	11
1980-04-29	0	NULO	22.5	10
1980-04-30	0	NULO	23	12
1980-05-01	0	3.9	22.5	9.5
1980-05-02	0	7.3	23	5
1980-05-03	0	5	26	7
1980-05-04	0	10.9	24	4.5
1980-05-05	0	10	29	8.5
1980-05-06	0	9.3	28	8.5
1980-05-07	0	8.6	27.5	7.5
1980-05-08	0	9.1	26.5	7.5
1980-05-09	0	7.3	25.5	6.5
1980-05-10	0	9.8	27.5	10.5
1980-05-11	0	8	27	9.5
1980-05-12	0	9.2	29.5	12.5
1980-05-13	0	7.7	31	8
1980-05-14	0	8.4	31.5	11.5
1980-05-15	0	12.8	26	10.5
1980-05-16	0	10.2	28	4
1980-05-17	0	9.3	28	4.5
1980-05-18	0	9.4	30.5	9.5
1980-05-19	0	10.3	29	9
1980-05-20	0	9.8	29.5	8
1980-05-21	0	9.2	31	7.5
1980-05-22	0	9.5	30	9
1980-05-23	0	10	30	8
1980-05-24	1	11.2	30.5	8
1980-05-25	0	3.5	28	8
1980-05-26	1.3	6.4	30.5	11
1980-05-27	0	4.4	32.5	11.5
1980-05-28	0	3.9	31	10
1980-05-29	0	6.8	33	13
1980-05-30	3	4.2	33	13.5
1980-05-31	0	8.4	34	13
1980-06-01	0	8.8	29.5	12.5
1980-06-02	0	8.3	33	13
1980-06-03	0	10.3	32.5	14.5
1980-06-04	0	9.4	32	13.5
1980-06-05	0	8.4	34	13
1980-06-06	4	10.1	32	16
1980-06-07	0	12	30	14
1980-06-08	0	9.7	32.5	12
1980-06-09	0	8.9	34	13
1980-06-10	0	9.3	29.5	15
1980-06-11	13.7	9.7	31.5	13
1980-06-12	0	5.4	31.5	12
1980-06-13	0	10.1	29.5	13.5
1980-06-14	0	8.6	32	12.5
1980-06-15	0	12	35	13
1980-06-16	0	9.8	35	16
1980-06-17	0	12	34.5	16
1980-06-18	0	10.3	33	15.5
1980-06-19	0	10.1	32	14.5
1980-06-20	0.5	7.5	33	13
1980-06-21	0	10	31.5	14
1980-06-22	8.6	11.5	32	12.5
1980-06-23	10.7	8.4	30.5	12
1980-06-24	0	4.2	30.5	12.5
1980-06-25	0	8.7	32	12
1980-06-26	0	10.3	32.5	13.5
1980-06-27	0	10.9	30.5	13
1980-06-28	0	9.5	31.5	12.5
1980-06-29	0.5	9.8	30	12.5
1980-06-30	0	8.7	31	12
1980-07-01	0	8.7	30	13
1980-07-02	0	9.8	30.5	11.5
1980-07-03	0	11.3	33.5	12.5
1980-07-04	1.5	8.5	30	10.5
1980-07-05	0	7.3	31	11.5
1980-07-06	0	5	29.5	10.5
1980-07-07	0	8.2	30.5	13.5
1980-07-08	0	8.5	31.5	13
1980-07-09	0.4	9.6	29.5	12.5
1980-07-10	2	6	31	12
1980-07-11	1.3	5.9	28	11
1980-07-12	3.4	4.8	29.5	11
1980-07-13	1.6	4.1	28	10.5
1980-07-14	0.3	4.3	28	10
1980-07-15	0	9.5	29	12.5
1980-07-16	0.3	9.4	31.5	12
1980-07-17	0	9	32	13
1980-07-18	0.7	10.2	30.5	12.5
1980-07-19	0	6.4	28.5	11.5
1980-07-20	1	4.2	30	10.5
1980-07-21	5.3	4.2	28	12.5
1980-07-22	4.7	5.6	29.5	12.5
1980-07-23	0.7	5.7	28.5	14.5
1980-07-24	0.5	2.7	29.5	11
1980-07-25	3	5.6	29.5	14.5
1980-07-26	0.6	5.4	29	14
1980-07-27	10.5	4.3	31.5	14
1980-07-28	0	6.2	29	10.5
1980-07-29	0	8	29	13.5
1980-07-30	9.7	7.9	29.5	14.5
1980-07-31	0	5.7	28.5	15
1980-10-01	0	6.5	28.5	11
1980-10-02	0	5.6	24.5	7
1980-10-03	0	7.2	29	9
1980-10-04	0	4.4	25	11
1980-10-05	0	6.8	28.5	10
1980-10-06	0	5.3	28.5	10
1980-10-07	0	7.9	24.5	11
1980-10-08	0	4.2	25.5	10
1980-10-09	0	4.4	25	9
1980-10-10	0	2.1	23	8
1980-10-11	0	5.3	22.5	6
1980-10-12	0	3.9	27.5	6
1980-10-13	4	3.2	25.5	6.5
1980-10-14	0	4.4	25	7.5
1980-10-15	0	3.7	29	8.5
1980-10-16	0	5	27	12
1980-10-17	0	5	28	8.5
1980-10-18	0	5.2	26.5	12.5
1980-10-19	0	5.4	23.5	8
1980-10-20	0	3.8	23.5	7
1980-10-21	5	2.5	23.5	5.5
1980-10-22	0	3.2	25.5	9
1980-10-23	0	4.3	23.5	6
1980-10-24	4.9	3	23.5	5.5
1980-10-25	0.01	3.3	26.5	8.5
1980-10-26	0.01	4.1	25	7.5
1980-10-27	0	3.6	21.5	10.5
1980-10-28	14.5	2.4	23	8.5
1980-10-29	9.5	2.3	19	10
1980-10-30	0	2	18.5	9
1980-10-31	0	1.8	19	9.5
1980-11-01	1	0.5	19.5	5.5
1980-11-02	0	1.5	20	3
1980-11-03	0	2.7	22	3.5
1980-11-04	0	4.2	21.5	7.5
1980-11-05	0	3.2	20.5	2.5
1980-11-06	0	3.6	20	2.5
1980-11-07	0	3.5	19.5	2.5
1980-11-08	0	5.6	20.5	2
1980-11-09	0	4	20	0.5
1980-11-10	0	2.5	19	0.5
1980-11-11	0	4.9	21.5	2
1980-11-12	0	2.7	22.5	1
1980-11-13	0	4.6	22.5	2
1980-11-14	0	3.5	21.5	4
1980-11-15	0	3.2	21.5	3.5
1980-11-16	0	5	20.5	3.5
1980-11-17	0	6.2	20.5	2.5
1980-11-18	0	1.5	13	5.5
1980-11-19	0	5.2	13.5	3.5
1980-11-20	13	2.9	15	4
1980-11-21	4.5	4.8	15.5	6.5
1980-11-22	0	1.6	14	6
1980-11-23	0	1.2	14	5
1980-11-24	0	1	18.5	0.5
1980-11-25	0	5.1	23.5	3
1980-11-26	0	4.9	13.5	5.5
1980-11-27	0	2.4	14	-0.5
1980-11-28	0	2.5	12.5	-5.5
1980-11-29	0	3.3	13.5	-8.5
1980-11-30	0	2.5	19	-2
1980-12-01	0	3.8	13.5	1.5
1980-12-02	0	2.5	14.5	4
1980-12-03	0	4.8	23	4
1980-12-04	0	4.7	15.5	3.5
1980-12-05	0	3.3	16.5	2
1980-12-06	0	5.4	12	1.5
1980-12-07	0	3.7	17	1.5
1980-12-08	0	5.5	21.5	2.5
1980-12-09	4	3.5	16.5	4.5
1980-12-10	0.8	2.8	21.5	6
1980-12-11	0	4.4	23	2.5
1980-12-12	0	3.7	23	3
1980-12-13	0	3	22	3
1980-12-14	0	5	19	2
1980-12-15	0	3.7	20.5	1.5
1980-12-16	0	2.5	16	3
1980-12-17	0	3.3	15.5	2.5
1980-12-18	0	3.6	18.5	1
1980-12-19	0	3.5	17	4
1980-12-20	0	4	17.5	2.5
1980-12-21	0	4	18.5	1
1980-12-22	0	5	15.5	1.5
1980-12-23	5.9	3.1	20.5	1
1980-12-24	3.5	2	21	5
1980-12-25	0.01	2.3	21.5	5
1980-12-26	0	4	18	3
1980-12-27	0	4.9	19.5	1.5
1980-12-28	0	5.7	20	2
1980-12-29	0	4.7	17.5	1.5
1980-12-30	0	4.8	16.5	4
1980-12-31	0	4.8	19	5
1981-01-01	0	4.2	12	2
1981-01-02	0	1.7	13.5	-1.5
1981-01-03	0	3	11	2
1981-01-04	0	2.7	15	1.5
1981-01-05	0	3.9	15	1
1981-01-06	0	2.7	15.5	5
1981-01-07	0	2.4	15	5.5
1981-01-08	0	2.3	16	4
1981-01-09	0	3.5	16.5	1.5
1981-01-10	0	2.6	17	2
1981-01-11	1.3	3.7	17.5	0.5
1981-01-12	4.2	1.6	17.5	2
1981-01-13	0	1.8	19	2.5
1981-01-14	0	3.3	13.5	2.5
1981-01-15	0.01	3.5	14	1.5
1981-01-16	15.2	1.5	13.5	3
1981-01-17	0	1.8	14	2
1981-01-18	0.01	3	14	1.5
1981-01-19	0	2.2	14.5	1
1981-01-20	0	2.6	14.5	2
1981-01-21	3.3	1.9	16.5	1.5
1981-01-22	4.5	1.6	12	1.5
1981-01-23	0	3.3	11	6.5
1981-01-24	0	4.5	10.5	-5
1981-01-25	0	2.1	9.5	-2
1981-01-26	5.3	2.2	10	-1
1981-01-27	0	3.2	11	2
1981-01-28	0	2.6	15	-2
1981-01-29	0	2.5	16	-0.5
1981-01-30	0	4.6	19	0.5
1981-01-31	0	5.3	21	2.5
1981-03-01	0	6.4	20	4
1981-03-02	0	5.1	21.5	7.5
1981-03-03	0.4	3.6	25	8
1981-03-04	0	6	20.5	3.5
1981-03-05	0	5.6	18	4.5
1981-03-06	0	6.9	18.5	6
1981-03-07	0	4.5	18.5	4
1981-03-08	0	3.6	21.5	4
1981-03-09	0	6.4	24.5	3
1981-03-10	3.2	3.6	25	6
1981-03-11	1.5	2.5	22.5	6
1981-03-12	0	3.8	23.5	5
1981-03-13	0	6.9	25	6
1981-03-14	0	5.8	24	10
1981-03-15	0	5.7	25.5	7
1981-03-16	1.1	3.2	25.5	12
1981-03-17	0	4.1	23	7
1981-03-18	0	6.7	21.5	4
1981-03-19	0	8	25	10
1981-03-20	0	7.6	25	4
1981-03-21	0	7.7	24	8
1981-03-22	0	8.4	22.5	0.5
1981-03-23	0	8.3	21.5	1
1981-03-24	0	7.8	21	2.5
1981-03-25	0	7.4	22.5	3
1981-03-26	0	8	23.5	3
