COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32050 
 NOMBRE    : SAN GIL 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.19583333 ° 
 LONGITUD  : -102.9783333 ° 
 ALTITUD   : 1829 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1969-07-23	0	3.97	NULO	NULO
1969-07-24	0	4.65	30	19
1969-07-25	0	5.75	30	17
1969-07-26	2.5	6.2	27	18
1969-07-27	1.5	3.05	32	14
1969-07-28	0	7.8	30	16
1969-07-29	8	6.17	30	15
1969-07-30	0	6.09	29	14
1969-07-31	0	NULO	31	16
1969-08-01	0	10	30	15
1969-08-02	0	9.2	30	16
1969-08-03	2	8.8	31	14
1969-08-04	0	7.6	30	15
1969-08-05	0	8.8	32	16
1969-08-06	0	9.1	32	17
1969-08-07	0	7.6	31	18
1969-08-08	6	6.4	26	16
1969-08-09	6	4.1	28	17
1969-08-10	0	5.4	31	15
1969-08-11	0	10.4	31	14
1969-08-12	0	10.3	32	16
1969-08-13	0	7.1	31	16
1969-08-14	0	8.2	32	15
1969-08-15	0	9.9	32	15
1969-08-16	0	9.9	33	19
1969-08-17	0	11	33	15
1969-08-18	0	10.5	33	16
1969-08-19	0	9.5	32	16
1969-08-20	0	8.3	27	17
1969-08-21	0	7.5	26	16
1969-08-22	1.5	6.3	29	14
1969-08-23	0	7.5	25	15
1969-08-24	0	5.9	32	15
1969-08-25	0	8.1	34	16
1969-08-26	0	7.4	33	17
1969-08-27	19	5.4	27	18
1969-08-28	0	8.1	31	16
1969-08-29	4	4.2	31	15
1969-08-30	2	5.9	28	16
1969-08-31	8	3.4	26	15
1969-09-01	0	6.46	27	14
1969-09-02	13.5	9.57	28	15
1969-09-03	0	8.3	29	15
1969-09-04	1.5	6.54	30	16
1969-09-05	0	5.28	29	15
1969-09-06	2.5	4.65	29	14
1969-09-07	8.5	4.37	31	13
1969-09-08	0	5.55	30	16
1969-09-09	0	5.4	29	15
1969-09-10	1	7.64	28	15
1969-09-11	2.5	6.57	27	14
1969-09-12	0	7.3	29	15
1969-09-13	0	5.86	29	13
1969-09-14	12	6.33	31	15
1969-09-15	13	4.93	30	14
1969-09-16	0	3.25	28	12
1969-09-17	0	6.5	29	13
1969-09-18	0	4.42	33	15
1969-09-19	9	4.98	31	16
1969-09-20	0	5.73	30	14
1969-09-21	0	4.24	28	15
1969-09-22	0	6.15	29	14
1969-09-23	6	5.36	27	13
1969-09-24	0	6.18	30	15
1969-09-25	0	4.35	29	14
1969-09-26	0	5.2	29	13
1969-09-27	0	6.94	28	14
1969-09-28	0	7.68	27	12
1969-09-29	0	5.65	27	11
1969-09-30	0	4.3	27	9
1969-10-01	0	3.9	28	10
1969-10-02	0	9.6	27	12
1969-10-03	1	4.8	26	10
1969-10-04	0	4.5	25	11
1969-10-05	0	5.6	29	9
1969-10-06	6	4.4	27	12
1969-10-07	0	4.2	26	11
1969-10-08	1	4	27.5	10
1969-10-09	0	2.2	28	13
1969-10-10	0	7.7	26	12
1969-10-11	0	2.7	26	11
1969-10-12	0	5	28	12
1969-10-13	0	6.8	29	13
1969-10-14	0	5	27	12
1969-10-15	0	6.5	26	13
1969-10-16	0	5.8	27	11
1969-10-17	0	3.9	28	10
1969-10-18	0	5.7	28	12
1969-10-19	0	3.8	26	13
1969-10-20	0	2.3	26	11
1969-10-21	0	6.3	25	10
1969-10-22	0	5.4	26	9
1969-10-23	0	7	25	11
1969-10-24	0	6.5	23	10
1969-10-25	0	7.8	25	8
1969-10-26	0	8.7	27	10
1969-10-27	0	7.1	25	12
1969-10-28	5	5.8	24	11
1969-10-29	0	6.9	23	9
1969-10-30	0	4.6	24	5
1969-10-31	0	3.2	24	3
1969-11-01	0	5.79	30	4
1969-11-02	0	4.66	31	5
1969-11-03	0	4.36	29	5
1969-11-04	0	4.45	19	3
1969-11-05	0	2.81	28	6
1969-11-06	0	6.5	31	4
1969-11-07	0	4.25	22	10
1969-11-08	1	5.34	27	6
1969-11-09	0	5.35	32	4
1969-11-10	0	5.89	31	8
1969-11-11	0	6.11	33	5
1969-11-12	0	4.4	19	5
1969-11-13	0	3.69	31	10
1969-11-14	0	6.2	30	4
1969-11-15	0	4.03	30	5
1969-11-16	0	6.37	29	5
1969-11-17	0	5.5	28	8
1969-11-18	0	7.15	27	2
1969-11-19	0	8.93	27	1
1969-11-20	0	4.82	28	0
1969-11-21	0	5.51	24	-1
1969-11-22	0	6.59	26	2
1969-11-23	0	4.11	27	3
1969-11-24	0	5.75	28	1
1969-11-25	0	6.42	24	3
1969-11-26	0	5.92	27	2
1969-11-27	0	4.2	19	2
1969-11-28	0	2.12	27	4
1969-11-29	14.5	4.26	25	5
1969-11-30	0	5.21	26	3
1969-12-01	14.5	3.58	22	4
1969-12-02	0	4.39	23	5
1969-12-03	0	4.2	25	3
1969-12-04	12.5	2.8	23	6
1969-12-05	3	2.36	20	5
1969-12-06	0	4.08	21	1
1969-12-07	0	4.24	26	0
1969-12-08	0	5.09	25	3
1969-12-09	0	4.21	26	1
1969-12-10	0	4.9	24	-2
1969-12-11	0	3.4	23	1
1969-12-12	0	3.94	24	4
1969-12-13	0	3.55	26	0
1969-12-14	0	4.55	24	-3
1969-12-15	0	3.11	25	-1
1969-12-16	0	4.28	25	-1
1969-12-17	0	4.54	25	-2
1969-12-18	0	4.23	28	4
1969-12-19	0	4.31	27	3
1969-12-20	0	5.65	24	5
1969-12-21	0	6.33	26	4
1969-12-22	0	3.81	26	0
1969-12-23	0	4.19	25	-1
1969-12-24	0	5.23	31	3
1969-12-25	0	3.49	28	1
1969-12-26	0	4.24	27	3
1969-12-27	0	6.26	28	4
1969-12-28	0	5.14	24	5
1969-12-29	0	5.66	26	5
1969-12-30	0	6.08	25	4
1969-12-31	0	4.5	26	0
1970-01-01	0	4.6	24	2
1970-01-02	0	7.8	22	1
1970-01-03	2	3.2	21	0
1970-01-04	5.5	4.5	18.5	2
1970-01-05	0	2.2	19	4
1970-01-06	0	2.7	22	3
1970-01-07	0	2.1	17	4
1970-01-08	0	1.8	23	6
1970-01-09	0	4.1	23	3
1970-01-10	0	4.7	26	3
1970-01-11	0	4.4	25	1
1970-01-12	0	3.4	24	2
1970-01-13	0	3.2	23	0
1970-01-14	0	5.6	22	1
1970-01-15	0	2.8	21	0
1970-01-16	0	7.2	24	1
1970-01-17	0	6.2	26	0
1970-01-18	0	4.6	24	4
1970-01-19	0	7.6	23	1
1970-01-20	0	5.4	26	0
1970-01-21	0	3.9	23	3
1970-01-22	0	6.3	25	2
1970-01-23	0	5	24	4
1970-01-24	0	4.5	25	0
1970-01-25	0	4.6	26	3
1970-01-26	0	5.8	26	3
1970-01-27	0	5.7	25	1
1970-01-28	0	4.9	27	0
1970-01-29	0	5.8	26	0
1970-01-30	0	7.6	25	3
1970-01-31	0	6.1	24	1
1970-02-01	0	4.9	24	2
1970-02-02	0	6.6	25	3
1970-02-03	0	7.4	22	0
1970-02-04	0	4.7	19	-1
1970-02-05	0	3.7	21	2
1970-02-06	0	5.5	17	2
