COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32059 
 NOMBRE    : VILLA DE COS (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : VILLA DE COS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.28888889 ° 
 LONGITUD  : -102.3441667 ° 
 ALTITUD   : 1999 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1988-03-16	0	NULO	NULO	NULO
1988-03-17	0	6	25	5.5
1988-03-18	0	7.2	20	3
1988-03-19	0	4.6	17.5	2
1988-03-20	0	7.8	25	2
1988-03-21	0	7.2	25.5	5
1988-03-22	0	5.3	27.5	4
1988-03-23	0	4.3	28.5	3.5
1988-03-24	0	2.3	29	3
1988-03-25	0	3.3	32	2
1988-03-26	0	5.1	28	2
1988-03-27	3	9.1	28	2
1988-03-28	0	7.2	29	2
1988-03-29	0	7.2	29	2
1988-03-30	0	5.5	28.5	6
1988-03-31	0	8.1	NULO	NULO
1988-04-01	0	9.5	28.5	7.5
1988-04-02	0	10.4	27	7
1988-04-03	0	6.3	28.5	4
1988-04-04	0	5.5	29	5
1988-04-05	2.2	5.7	28.5	6.5
1988-04-06	6	1.9	23.5	5
1988-04-07	8.5	7	18.5	2
1988-04-08	5.5	2.6	18	3
1988-04-09	0	16.2	33	4
1988-04-10	0	6.2	26.5	7
1988-04-11	4	7.8	17.5	4
1988-04-12	0	2.8	24.5	8
1988-04-13	0	5.6	25.5	8.5
1988-04-14	0	5	26	6
1988-04-15	0	4.8	25.5	5
1988-04-16	0	5.2	24.5	5.5
1988-04-17	0	3.6	23.5	5.5
1988-04-18	0	9.4	28	8
1988-04-19	0	10.4	31	10
1988-04-20	0	17.8	31	12.5
1988-04-21	0	2.2	29.5	9.5
1988-04-22	0	8.1	29.5	9
1988-04-23	0	5.7	28	6
1988-04-24	0	5.6	33	9.5
1988-04-25	0	6.9	32	6
1988-04-26	0	8.1	33	6
1988-04-27	0	8.3	33.5	10
1988-04-28	0	12.1	32.5	4
1988-04-29	0	7.6	30.5	4.5
1988-04-30	0	7.5	30.5	7
1988-05-01	0	13	32	7.5
1988-05-02	0	9.5	31	8.5
1988-05-03	0	8.7	32	7.5
1988-05-04	0	4.1	30	4.5
1988-05-05	0	11.8	31	6
1988-05-06	0	5.4	33.5	6
1988-05-07	0	7.8	32.5	7
1988-05-08	0	3.2	32	7
1988-05-09	0	6	32	7
1988-05-10	0	8.9	34	6
1988-05-11	0.4	7.5	33.5	5
1988-05-12	0	7.8	29	5
1988-05-13	2.5	15.6	29	2.5
1988-05-14	0	4.3	30	6.5
1988-05-15	0	2.3	31	5
1988-05-16	0	7.2	32.5	5.5
1988-05-17	0	9.8	32.5	3.5
1988-05-18	0	12.8	30	6
1988-05-19	0	13.4	29.5	4.5
1988-05-20	0	11.2	30.5	6
1988-05-21	0	9.1	31	6
1988-05-22	0	9.8	32	5.5
1988-05-23	0	12.1	33	7
1988-05-24	0	3.8	33	5
1988-05-25	0	7.1	17	2.5
1988-05-26	2	7	29	1
1988-05-27	0	7.2	29	3
1988-05-28	0	6.2	30	3.5
1988-05-29	0	11.9	32	5.5
1988-05-30	0	15.6	29.5	6
1988-05-31	NULO	9.5	31.5	5
1988-06-01	0	9.1	18.5	6
1988-06-02	0	4.1	30	6.5
1988-06-03	0	13	33.5	4
1988-06-04	0	8.4	29	3
1988-06-05	0	8.6	15.5	2.5
1988-06-06	0	9	18.5	3.5
1988-06-07	0	4.1	18.5	5.5
1988-06-08	0	3.9	32	2
1988-06-09	0	9.8	33	3.5
1988-06-10	0	10.8	32	6.5
1988-06-11	0	5.4	28.5	3.5
1988-06-12	0	9.9	28.5	3
1988-06-13	12.5	3.1	31.5	3
1988-06-14	0	4.5	27	3.5
1988-06-15	0	6.5	24.5	3.5
1988-06-16	19.5	5.6	23.5	2
1988-06-17	0	3.4	25.5	2
1988-06-18	0	9.5	27.5	2
1988-06-19	0	3.7	26.5	3.5
1988-06-20	3	0.7	26	3.5
1988-06-21	0	13.2	27	2
1988-06-22	0	7	30	2
1988-06-23	0	2.1	30	3
1988-06-24	0	2.8	30	3
1988-06-25	0	15.5	30	3
1988-06-26	16.5	1.8	28	3
1988-06-27	1	5.5	30	2
1988-06-28	0	5	30	2
1988-06-29	0	6	30	2
1988-06-30	0	6.5	30	2
1988-07-01	3.5	8.1	31.5	1
1988-07-02	11	8	28	2
1988-07-03	13.5	7.8	29.5	2
1988-07-04	2	12.7	28	2
1988-07-05	3.5	5.4	29	2
1988-07-06	0	6.4	31	2
1988-07-07	0	9.8	30.5	2
1988-07-08	4.5	2.7	31.5	2
1988-07-09	1.5	8.2	29	2
1988-07-10	5.7	9	28	2
1988-07-11	0	5.3	29.5	2
1988-07-12	0	6.1	29.5	2
1988-07-13	0	7.9	30	2
1988-07-14	0	6.2	32	2
1988-07-15	0	5.9	29	2
1988-07-16	0	7.2	28	2
1988-07-17	0	10.3	27	2
1988-07-18	0	13.9	29	2
1988-07-19	0	5.3	30.5	5.5
1988-07-20	0	7	29.5	2
1988-07-21	0	6.8	27	2
1988-07-22	0	6.2	27	4
1988-07-23	0	3.1	30	4
1988-07-24	0	8.1	32	4.5
