COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32001 
 NOMBRE    : AGUA NUEVA 
 ESTADO    : ZACATECAS 
 MUNICIPIO : VILLA DE COS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.78333333 ° 
 LONGITUD  : -102.1602778 ° 
 ALTITUD   : 1946 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964	10.1	0.01	0.01	5	29	7	15	17	25	9	1.5	15	133.62	11.1	12
1965	9	12	1	25	0.01	12	12	15	24	13	21	21	165.01	13.8	12
1966	7	2	1	12	21	14.5	16.5	35	5	42	0.01	0.01	156.02	13	12
1967	12	0.01	12	2	7	7	32.5	18	37	8	2		137.51	12.5	11
1968		2	33.5	12	11	10	38	19	7	8	5	17	162.5	14.8	11
1969	4	0.01	0.01	0.01	3.5	6	13	10		14	31	2	83.53	7.6	11
1970	2.5	16.5	0.01	0	2	40	14.5	41	31.5	9	0	0.01	157.02	13.1	12
1971	2	0	3	0	20	52	4	38.5	7.5	30	0	2	159	13.2	12
1972	4.5	0	12	2	22	36	18	18	24	23	22	4	185.5	15.5	12
1973	23	2.5	0	0	6.2	28	13	20			0	3.5	96.2	9.6	10
1974	0	0	3	1	6	34	8	51	26.5	7	0	8	144.5	12	12
1975	5.5	1	0	0	4	14	40	32	10	1	0	6	113.5	9.5	12
1976	5	0	0	0	8	6	51	17	50	12	18	18	185	15.4	12
1977	4.5	0	0	10	2	7		10	15	25	0	1	74.5	6.8	11
1978	0	0		2	7	8	38	29	29	26	0	5	144	13.1	11
1979	2	1	0	0.5	4	10	19	8	8	2	2	23	79.5	6.6	12
1980	4	27	0	9.5	3	4	20	40	20	10	3	15	155.5	13	12
1981	25	10	0	25	20	15	6	9.1	14	0	0	0	124.1	10.3	12
1982	0	0	0	0	0	0	30	19	14	9	13	14	99	8.2	12
1983	8.6	0	0	0	28	8	22	28	10	5	9	0	118.6	9.9	12
1984	14.5	0	0	0	6	6	35	20	5.5	3	0	7	97	8.1	12
1985	6	17.5											23.5	11.8	2
1987		1.6	0	5	0	0	0	5	0	0	4.6	4	20.2	1.8	11
1988	1.3	0	0	0	0	0		21	20	0	2.6		44.9	4.5	10
1989	0	0	0	0	0	0	0	21	38	16	0	4	79	6.6	12
1990	0	3	0	0	21	15	15	14	33.8	142	15	0	258.8	21.6	12
1991	0	27.5	0	0	2.2	31	20	12.8	40.5	32	5	42	213	17.8	12
1992	27.6	21	5	15	22	10	45.5	14	44.8	22.2	20	0	247.1	20.6	12
1993	17.3	0.01	1	0.2	0.5	6.5	7.9	49.2	26	5.5	27.9	2.2	144.21	12	12
1994	5.2	0.2	5.5	12	7.6	40.7	16.5	14.5	16.6	8.5	0	13	140.3	11.7	12
1995	4	0	0.01	0.01	11	20	15.4	29	15.4	0	9	6.5	110.32	9.2	12
1996	0	5.5	0	6	4.5	14	18.5	17	11	21.5	1.5	0	99.5	8.3	12
1997	5.2	11	17	15.8	17.7	14	10.4	7.9	10.2	8.9	6.5	12	136.6	11.4	12
1998	2.9	5.3	0.01	3.2	0.01	5.8	2.1	25.8	16.9	3	3.1	0.01	68.13	5.7	12
2000	0.01	0.01	0.01	14.5	15.6	18.8	15						63.93	9.1	7
2001	0		1.8	1.2	14.5	14.1	5.2	11	15	17.1	8.2	2.5	90.6	8.2	11
2002	9.2	6.1	0.01	3.2	1.9	37.5	23.5	17	18.5	23.1	5.5	0.01	145.52	12.1	12
2003	1.1	9	0.5	0.01	9.3	18.2	24	23.5	39	43	0		167.61	15.2	11
2005	8.4	19.5	3.5	10	20.8	19.5	13.5	9.2	18.7	17			140.1	14	10
2006	16.6	4.5	0	1.7	5.5	16.3	34	18.2	0	8.7	0.5	4	110	9.2	12
2009	0.01	0	3.5	2.9	5.2	16	7	41.5	26	2.6	22.8	28	155.51	13	12
2010	23	20.3	0.01	2.1	1	24.5	28	9.6	76		0	0	184.51	16.8	11
2011	0	0	0	0	5.2	3	18	19	25.5	8	0	0	78.7	6.6	12
2012	24	14	0.01	35	22	5.5	9.5	34.5	65.2	10.1	7	5.2	232.01	19.3	12
2013	14.2	0	0	0.01	5.5	10	40	10	28.5	3.5	40	45.1	196.81	16.4	12
2014	6.4	0	2.3	0.01	16	46	20	48.1	65.2	5.6	20.1	19.5	249.21	20.8	12
2015	7	40	30.8	5.5	21.1	83.3	40.5	17.5	21.5	48	1.9	2.4	319.5	26.6	12
2016	1.4	1.8	13.1	1.6	15.4	13	11.3	51.9	38.6	21	11.5	3.1	183.7	15.3	12
2017	0.01	0.01	38	0.01	5	2.9	38.8	29.3	25	3	0	10	152.03	12.7	12
2018	21.1	5.9	1.5	9	24.3	38.5	5	8.6	38	21	16.4	14.4	203.7	17	12
2019	5.8	0	0	1.5	5	25.1	25.9	20.1	11.6	18.6	30.4	21.3	165.3	13.8	12
2020											0	3.2	3.2	1.6	2
2021	11.9	0	0	0.01	11	30.5	26.6	43.4	28.5	13.8	0.01	2.5	168.22	14	12
2022	0	2.1	0	2.8		9.2	32.1	16.6	39.5	31	4.5	0	137.8	12.5	11
MÍNIMA	0	0	0	0	0	0	0	5	0	0	0	0	3.2	1.6	2
MÁXIMA	27.6	40	38	35	29	83.3	51	51.9	76	142	40	45.1	319.5	26.6	12
MEDIA	7.1	5.6	3.7	4.9	9.8	17.6	20.3	22.6	24.8	16.5	7.7	8.5	139	12.1	11.2
DESV.ST	7.8	9	8.6	7.5	8.5	15.9	12.7	12.7	16.5	21.7	10.1	10.5	61.7	4.8	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964	15.65	0.02	0.01	5.03	56.07	20.02	27.06	40.15	126.05	29.61	1.56	18.26	339.49	28.3	12
1965	10.02	12.06	1.02	38.02	0.07	25.07	30.83	76.6	114.15	17.12	34.55	54.55	414.06	34.5	12
1966	15.61	2.11	1.12	23.08	59.05	56.6	71.57	147.06	9.15	47.02	0.15	0.08	432.6	36	12
1967	22	0.04	18.06	2.03	23.58	8.14	43.6	112.65	90.14	8.13	4.16		332.53	30.2	11
1968		6.57	66.55	32.5	12.03	37.04	93.56	95.06	25.12	9.19	5.13	31.04	413.79	37.6	11
1969	10.01	0.03	0.06	0.01	5.52	31.02	34.06	24.62		21.15	32.09	3.12	161.69	14.7	11
1970	4.59	40.56	0.05	0	2.05	91.55	36.09	76.53	111.11	10.13	0	0.1	372.76	31.1	12
1971	4.5	0	4	0	23.3	147.5	9.5	152	23.5	53	0	2	419.3	34.9	12
1972	13	0	16	4	23	77	70	29.5	89.5	36	22	4	384	32	12
1973	41.5	6.5	0	0	10.9	55	18.5	74			0	3.5	209.9	21	10
1974	0	0	3	1	8	41	22	101	54	12.5	0	15.5	258	21.5	12
1975	14	1	0	0	5	51	113.5	103	11	1	0	15.5	315	26.2	12
1976	6	0	0	0	18	10	216.5	43.5	194	32	52	44	616	51.3	12
1977	6.5	0	0	18	3	16		54.5	36	42	0	2	178	16.2	11
1978	0	0		3	13.5	26.5	105	102	162.5	52.5	0	5	470	42.7	11
1979	2	2	0	0.5	12.5	22	71	26	18	2	2	45	203	16.9	12
1980	8	38.5	0	20.5	3	5	36	323	29	23	7	22	515	42.9	12
1981	48	15	0	50	38	24	13	23.1	33	0	0	0	244.1	20.3	12
1982	0	0	0	0	0	0	64	19	19	17	17	14	150	12.5	12
1983	18.1	0	0	0	67	8	28	54	10	5	9	0	199.1	16.6	12
1984	26.5	0	0	0	6	13	76	25	5.5	4	0	14	170	14.2	12
1985	11	21.1											32.1	16	2
1987		1.6	0	9	0	0	0	7.8	0	0	4.6	8.9	31.9	2.9	11
1988	1.3	0	0	0	0	0		87	27	0	2.6		117.9	11.8	10
1989	0	0	0	0	0	0	0	66.5	48	28	0	5.2	147.7	12.3	12
1990	0	5.2	0	0	43.5	33.5	38	59	106	406.5	31	0	722.7	60.2	12
1991	0	57.5	0	0	2.2	57.22	173.71	45.41	117.31	169.54	5.04	104.04	731.97	61	12
1992	103.23	35	14.04	21.02	66.67	28.42	82.53	33.71	98.72	55.95	47.51	0	586.8	48.9	12
1993	21.2	0.03	1	0.21	0.74	30.44	35.75	135.68	63.17	10.21	32.63	4.21	335.27	27.9	12
1994	5.2	0.23	6.11	20.7	16.26	128.01	36.12	62.54	58.82	22.91	0	20.5	377.4	31.4	12
1995	5.01	0	0.01	0.02	24.51	48.94	35.11	117.6	20.4	0	10	14	275.6	23	12
1996	0	11.02	0	6.51	6.62	49.41	39.52	56.65	25.34	53.9	2.01	0	250.98	20.9	12
1997	11.32	11	24.92	39.74	43.85	45.07	26.01	32.28	21.06	31.25	8.42	12.32	307.24	25.6	12
1998	2.93	6.4	0.04	3.2	0.02	21.8	3.04	135.36	48.51	8.88	5.56	0.02	235.76	19.6	12
2000	0.02	0.01	0.03	15.85	38.97	94.12	25.51						174.51	24.9	7
2001	0		2.8	5.51	36.9	31.2	14.4	41.5	40.8	24	10	6.01	213.12	19.4	11
2002	11	17.9	0.01	7.72	7.01	81.22	109.5	60.52	59.72	59.61	13.72	0.01	427.94	35.7	12
2003	4.11	15.01	0.5	0.05	16.13	79.92	78.61	125.5	163.41	70.8	0		554.04	50.4	11
2005	9.9	51.5	4.8	11.3	24.32	30.5	44.33	34.72	29.41	31.23			272.01	27.2	10
2006	21.13	8.6	0	2.23	14.66	32.43	83.63	96.33	0	33.57	1	13.81	307.39	25.6	12
2009	0.02	0	4.52	5.71	10.86	61.17	22.32	56.32	99.64	5.88	25.93	49.03	341.4	28.4	12
2010	33.61	42.93	0.01	2.12	1	60.86	115.86	15.02	293.75		0	0	565.16	51.4	11
2011	0	0	0	0	8.92	3.01	57.18	44.36	91.05	10.61	0	0	215.13	17.9	12
2012	24	28.51	0.03	35.03	32.03	15.76	15.87	64.14	101.35	11.52	7.02	5.2	340.46	28.4	12
2013	33.42	0	0	0.03	17.94	26.51	149.15	39.27	116.25	9.21	69.65	73.2	534.63	44.6	12
2014	9.83	0	4.11	0.02	22.32	129.87	62.74	89.78	97.46	6.62	37.41	28.3	488.46	40.7	12
2015	14.24	75.42	60.34	14.83	34.54	157.45	107.94	48.35	48.92	123.52	3.12	3.6	692.27	57.7	12
2016	3.81	1.82	27.2	1.61	30.74	19.62	32.34	148.45	118.62	33.52	28.82	3.11	449.66	37.5	12
2017	0.02	0.01	47.4	0.03	7.52	9.54	113.44	91.55	109.54	7.12	0	16.83	403	33.6	12
2018	48.32	11.02	1.51	21.2	49.52	108.51	19.46	26.92	113.12	33.52	26	14.4	473.5	39.5	12
2019	10.53	0	0	1.5	9.2	79.6	62.85	74.73	24.44	36.6	56.71	32.2	388.36	32.4	12
2020											0	3.7	3.7	1.9	2
2021	12.5	0	0	0.02	23.92	115.91	116.55	154.24	72.43	39.84	0.03	3	538.44	44.9	12
2022	0	3.6	0	8.4		22.62	71.77	39.65	53.61	77.32	5.5	0	282.47	25.7	11
MÍNIMA	0	0	0	0	0	0	0	7.8	0	0	0	0	3.7	1.9	2
MÁXIMA	103.23	75.42	66.55	50	67	157.45	216.5	323	293.75	406.5	69.65	104.04	731.97	61	12
MEDIA	13	10.2	6.1	8.3	19.2	45.5	59.1	74.4	70	37.2	12.2	14.9	344.8	29.8	11.2
DESV.ST	17.9	17.3	14.6	12.4	18.4	40	46.1	53.4	57.7	62.5	17.3	21.2	171.2	13.8	2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2005											29.98	18	47.98	24	2
MÍNIMA											29.98	18	47.98	24	2
MÁXIMA											29.98	18	47.98	24	2
MEDIA											30	18	48	24	2
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964	19.2	23.6	26.7	32.1	32.2	32.2	31.5	32.2	29.2	25.3	26.5	22.5		27.8	12
