COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32004 
 NOMBRE    : CAMACHO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : MAZAPIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.44388889 ° 
 LONGITUD  : -102.3736111 ° 
 ALTITUD   : 1665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940	9	22	0	0	0	41	10.3	5	35	11.5	0	0	133.8	11.2	12
1941												25	25	25	1
1942	0	5.1	0	0	7.5	7	45	5	12	28	0	0	109.6	9.1	12
1943	10	0	0	4.5	20	16.5	7.5	10.5	15.5	14.5	0	4.5	103.5	8.6	12
1944	8.5	5.5	8	0	9.5	7.5	8.5	15	26				88.5	9.8	9
1945	0	0	0	0	7.5	19.5	11	14.5	19.5	19.5	0	4.5	96	8	12
1946	5	0	1	15.5	6.5	10	17.5	20	8.5	9.5	20	0	113.5	9.5	12
1947	10.5	0	0	1	5	19	0	11	9	3	0	1	59.5	5	12
1948	8	0	0	3	15	23	43	3	26	12	7	0	140	11.7	12
1949	0	0	0	0	2	7	9	9	3	13	0	70	113	9.4	12
1950					4	11	20	7	23				65	13	5
1951		0	3	15	2	20	20	7	24	13	6	0	110	10	11
1952	0	0	0	16	0	42	8	6	4	0	0	0	76	6.3	12
1953	0	0	0	0	0	5	9	20	60	19	0	28	141	11.8	12
1954	0	8	0	8	33	24	33	24	14	6	0	8	158	13.2	12
1955	3	0	0	0	3	7.5	42	24	4	13	8	0	104.5	8.7	12
1956	0	0	0	0	12	11	10	7	4	0	13	4	61	5.1	12
1957	0	19	0	0	27	8	0	23	24	24	4	0	129	10.8	12
1958	6	13	28	0	6	24	6	20	18	78	20	18	237	19.8	12
1959	9	17	0	24	9	22	12	24	14	24	0	0	155	12.9	12
1960	4	0	0	4	0	0	8	32	0	9	0	28	85	7.1	12
1961	11	0	0	5	0	9	9	7	25.5	3	1.5	0	71	5.9	12
1962	0	1	0	2.5	6	19	3	15	11	9	4	7	77.5	6.5	12
1963	0	0	0	6.5	8	17	24	12	28	74.2	8	12	189.7	15.8	12
1964	10	0	0	2	11	8	17	14.5	20	9	1	6	98.5	8.2	12
1965	0	3	0	8.5	0	18	7	45	23	2	25	19.5	151	12.6	12
1966	8	8.5	7.6	7	9	39	11.5	17	5	15	2	0	129.6	10.8	12
1967	10	0	18	0	35	20	40	26.5	22.5	7	0	1.5	180.5	15	12
1968	0	8	28	26.5	3	1	43	16.5	25	8.4	22	57	238.4	19.9	12
1969	3	0	0	0	5	11.5	12	16.5	16.5	20.5	0	60.4	145.4	12.1	12
1970	9	22	0	0	0	41	10.3	5	35	11	0	0	133.3	11.1	12
1971	2	0	0	0	7.5	25	2	62	10.5	15	0	6	130	10.8	12
1972	0	0	0	6	31								37	7.4	5
1991						4.5	20	4.1	19.9	8.6	0	9	66.1	9.4	7
1992	16	0	0	0	19	9	0		0	0	0		44	4.4	10
1993	0	0	0	0	18	3	0	12	18	4	11	0	66	5.5	12
1994	15	0	6	12	2		20	6.3	12.5	7.5	0	15.5	96.8	8.8	11
1995	9.5	0	0	0	3.5	2.1	20.3	10.2	10	0	4.3	7.2	67.1	5.6	12
1996	0	3.5	0	2	0	13.5	9.5	16	20	18.2	1.6	0	84.3	7	12
1997	8	0	5	0	0	0	29	3	13	26	2.5	4	90.5	7.5	12
1998	0		0	0	0	0	16		30	5	30	0	81	8.1	10
1999	0	0	0	0	0	25	17	9	0	0	0	0	51	4.2	12
2000	0	0.5	0	3.5	5	28	7	6	7	8.5	13.5	11	90	7.5	12
2001	4.5	0.5	9.5	22	10	12	20.5	14	14.5	20	3	0.8	131.3	10.9	12
