COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32005 
 NOMBRE    : CAÑITAS DE FELIPE PESCADOR 
 ESTADO    : ZACATECAS 
 MUNICIPIO : CAÑITAS DE FELIPE PESCADOR 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.60222222 ° 
 LONGITUD  : -102.7338889 ° 
 ALTITUD   : 2046 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1941												21	21	21	1
1942	3	2.5	0	0	13	17	41	24.5	34	39.5	10.5	0	185	15.4	12
1943	7.5	0	0.01	6.1	2.6	49.1	24.5	20	42	7	0	13.1	171.91	14.3	12
1944	2	14.5	6.5	0	6	6.5	48	33.5	21.5	10.5	20	1	170	14.2	12
1945	17	7	7	2	13.5	13	10.5	35.5	36.5	13.7	0.5	2	158.2	13.2	12
1946	2.2	1.5	2	17.9	4.1	22.5	25	18.5	10.5	22	18	29.5	173.7	14.5	12
1947	7.5	0	0	7.5	20	58.1	4.2	30.3	18	4.2	3.5	0	153.3	12.8	12
1948	38	2.5	2	19.5	23.5	26.5	35.5	18.5	25	28	4.5	4	227.5	19	12
1949	2.1	2.5	0	0	2	38	21.5	20	22.1	16	0	0	124.2	10.3	12
1950	1.1	0	10	0	87	15	16.5	22	45	4.5	0	0	201.1	16.8	12
1951	0	0	5.5	0	0.5	35	20	11.1	34	21	3.5	0	130.6	10.9	12
1952	0	0	0	4	0	45	6	5	15	0	15	2.5	92.5	7.7	12
1953	0	19	8	0	2	4	35	65	86.5	11	20	17	267.5	22.3	12
1954	15	5	0	1	5.1	12.5	5	15	8	60	0	4	130.6	10.9	12
1955	3	0	0	0	1	15	53	30	14.5	20	0	0	136.5	11.4	12
1956	0	0	0	0	18	21	30	9	5.5	6	7	2.5	99	8.2	12
1957	4	14	0	0	4	1.5	1	15	23	12	0	8	82.5	6.9	12
1958	0.5	4	37	0	5.5	25	20	24	22	24	10	23	195	16.2	12
1959	11	17	0	32	3	21.5	45	25	10	30	17	3	214.5	17.9	12
1960	1	0.5	0	0.01	20	6	6	70	15	11.5	0	6	136.01	11.3	12
1961	10	0	0.5	3	20	8	20	23	22	8	0	0	114.5	9.5	12
1962	16	9.5	0	18	0	13.5	28.5	11	11.5	9.5	2	7	126.5	10.5	12
1963	0	0	0	20	70	15.5	18	22	17	6	0	26	194.5	16.2	12
1964	3	2	0	0	20	13	15.5	7	15.5	37.5	2.5	19.5	135.5	11.3	12
1965	1.5	1	0	51	8.5	42.5	35	43	42	5	4.5	34	268	22.3	12
1966	5	4	2	16	45	22	25	17.5	6	24	8	0	174.5	14.5	12
