COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32028 
 NOMBRE    : JUAN ALDAMA 
 ESTADO    : ZACATECAS 
 MUNICIPIO : JUAN ALDAMA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.28166667 ° 
 LONGITUD  : -103.3977778 ° 
 ALTITUD   : 1999 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963								16.4	19.6		2.6	18.9	57.5	14.4	4
1964	9.8	0	0	0		6.5	29	15	29.5	10.8	3.8	0	104.4	9.5	11
1965	0	6.9	0	9.5	5.4	21	9.6	29.4	29.9	0	8.5	37.7	157.9	13.2	12
1966	6	0	7.5	0	30	20	18.4	30	31.7	7.4	7.5	0	158.5	13.2	12
1967	13	5.5	10	0	20	0	25	36.5	8.2	10	8.5		136.7	12.4	11
1968		0	34	5	0	7.5	24.5	33	39	24	0	26	193	17.5	11
1969	0	0	0	0	0	24	20	12	32.5	4.5	0	9.5	102.5	8.5	12
1970	0	10.5	0	0	10.5	35.5	26	51.5	66	52	0	0	252	21	12
1971	0	0	0	0	23	20	16	38	40	28	0	0	165	13.8	12
1972	0	0	0	0	10.5	40	27	18.5	45	24.5	0	0	165.5	13.8	12
1973	18	13	0	0	23	20	40	50			0	10	174	17.4	10
1974	0	0	0	0	14.5	0	12.5	43.5	16.5	11.5	8.5	8	115	9.6	12
1975	6.5	0	0	0	0	30.5	48.5	27.7	9	3.6	0	19	144.8	12.1	12
1976	0	0	0	0	0	20	56.5	5.5	80	12.5	29.5	3.5	207.5	17.3	12
1977	11.5	0	0	0	0	46.5	9.5	34.5	0	39.5	0	0	141.5	11.8	12
1978	0	0	0	0	6.5	12.7	53.5	48.5	73.5	28.5	0	0	223.2	18.6	12
1979	0	0	0	0	4	26.5	40	63.5	14	0	14.5	36.5	199	16.6	12
1980	0	9.5	0	0	0	0	0	28.5	34.5	28.5	9.5	6.5	117	9.8	12
1981	9.5	6.5	0	0	0	57.5	78.5	23.5	25.5	6	0	17.5	224.5	18.7	12
1982	0	0	0	8	0	17.5	19	17	9	8.7	49.4	13.5	142.1	11.8	12
1983	4	0	0	0	38	7.5	19	74.5	15	31.5	6	0	195.5	16.3	12
1984	17	0	0	0	12.8	29.5	25.5	47	10.5	9.2	0	10.6	162.1	13.5	12
1985	11.5	0											11.5	5.8	2
1987			0	9	12	20						4.5	45.5	9.1	5
1988	0	0	0	6.2	2	25.2	71.7	31.5	19	2.9	0	1.7	160.2	13.3	12
1989	0	0	0	0	0	0	8.3	31.3	34.7	22.5	25.7	9.5	132	11	12
1990	7.6	2.3	2.5	0	2.6	26.5	44.5	34.4	27.3	26.7	0.01	0	174.41	14.5	12
1991	0	0	0	0	0	11.7	49.3	16.8	31.5	5.4		12.5	127.2	11.6	11
1992	6	21.3	3.6	3.8	21.4	8	20	20.4	15.5	9	4	5	138	11.5	12
1993	0	0	0	3.5	17.5	20	8.5		19.5	13	20	0	102	9.3	11
1994	7	0	5	12	12	9	23	16	18	14.5	10.5	7.2	134.2	11.2	12
1995	1.5	2	0	0	0	30	19.5	27.5	34	0	0	4	118.5	9.9	12
1996	8	1	0	8.5	3.5	16.5	20	30	20	40	13	0	160.5	13.4	12
1997	19.5	9.5	8	2	7.5	35.5	17	5	8.2	39.1	12.5	1.5	165.3	13.8	12
1998	0	1	0.2	2	0	7.5	38.7	37.7	19.5	11	7.4	0	125	10.4	12
1999	0	0	0	0	0	51.1	8.2	15.5	9.2	1.3	0	9.8	95.1	7.9	12
2000	0	1.5	0.3	2.8	11.4	42.5	16.7	21.3	33.5	4.7	5	0.5	140.2	11.7	12
2001	0.5	2.5	7.9	4.7	5.5	24		12.7	18.8	14.2	1	0.6	92.4	8.4	11
2002	5.6	17.3	0.01	3.5	7.6	14.1	7.5	22.4	49.7	26.8			154.51	15.5	10
2003	1.4	5.2	0.5	0.8	7	31.5	28.6	29.5	71.4	19	1	0	195.9	16.3	12
2005	7.2	28.7	1.6	5.6	3.6	5	18.5	22.5	8.9	8.3	2.6		112.5	10.2	11
2006	23.5	0	0.01	5.2	20.6	20.3	20.5	20.6	36.5	27	31.5	16.1	221.81	18.5	12
2007	3.9	0.3	0.01	5.3	0.01	30.7	44.9	24.6	32.3	0	0.3	0	142.32	11.9	12
2008	0	7.5		21.8	1.7	32.4	27.9	42.1	51.8	1.2	0		186.4	18.6	10
2009	0.5	0	3					20.6	46	16.9	10.5	6.5	104	13	8
2010	2.5	18.5	2.4	0.01	0.3	21.3	37.4	4.7	40.3	0.01	0	0	127.42	10.6	12
2011	0	0	0.01		4.1	7	31.8	22.8	16	6.9	0		88.61	8.9	10
2012		5	0.01		3.9	14.9	14.9	21.4	18.1	4.9	1.9		85.01	9.4	9
2013	3.7	0	0.01	0.01	0.5	5.3	23.7	13.3	46.7	40.6	7.3	10.2	151.32	12.6	12
2014	7.9	0	2.3	0.01	7.6	40.6	36.4	27.6	53.2	22.5	28.7	3.2	230.01	19.2	12
2015	14.5	28	21.5	11.5	1.5	25.5	49.6	13.9	38.4	26.7	1.6	0	232.7	19.4	12
2016	12.1	4.2	0.01	0.01	16.2	22.6	5.9	51.4	11	1.8	17.4		142.62	13	11
2017	0	0	16.4		1.2	11.9		23.7	33.3	7.2	0.01	10.8	104.51	10.5	10
2018	4.8	11			46.5	22.4	20.8	40.6	41.9	19.7	6.9	1.4	216	21.6	10
2019	2.6	0	0	0	0	15	14.5	37.7	28.1		22	21.7	141.6	12.9	11
2020	16.5	8.3	0	6.6	10.8	29.1	74.3	26.1	38.8	0	0	2.2	212.7	17.7	12
2021	0.01	0	0	0.01	28.2	35.5	18.1	49.9	15.6	29	0.01		176.33	16	11
2022	0	0	0	8.3	0.8	20.5	27	31.5	34.5	14.1	0.1		136.8	12.4	11
2023	0	0	157.8	4.9	7	14.14	19.3		48			0	251.14	27.9	9
2024		24	0	0	4.5	20	31	1.5					81	11.6	7
MÍNIMA	0	0	0	0	0	0	0	1.5	0	0	0	0	11.5	5.8	2
MÁXIMA	23.5	28.7	157.8	21.8	46.5	57.5	78.5	74.5	80	52	49.4	37.7	252	27.9	12
MEDIA	4.8	4.3	5.1	2.8	8.3	21.2	27.7	28.4	30.3	15.4	7	7.1	149.3	13.5	10.9
DESV.ST	6.2	7.4	21.6	4.4	10.4	13	17.4	14.7	17.7	13	10.4	9.2	50.6	4	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963								76.6	94.5		7.4	29.5	208	52	4
1964	9.8	0	0	0		16.5	76.3	54.8	125.3	33.4	3.8	0	319.9	29.1	11
1965	0	6.9	0	13	8.6	27	40.5	75.3	162.4	0	16.5	54.7	404.9	33.7	12
1966	6	0	7.5	0	36	53.7	49.1	162.7	93.3	11.9	7.5	0	427.7	35.6	12
1967	44	5.5	10	0	20	0	56.3	168.1	22	21.7	8.5		356.1	32.4	11
1968		0	55.5	5	0	7.5	72.7	118.2	189	61	0	26	534.9	48.6	11
1969	0	0	0	0	0	31	44.5	42	109.5	4.5	0	9.5	241	20.1	12
1970	0	10.5	0	0	10.5	87.6	26	136	162	63.5	0	0	496.1	41.3	12
1971	0	0	0	0	23	60	24	201	40	35	0	0	383	31.9	12
1972	0	0	0	0	16	98	93.5	58.5	129.7	24.5	0	0	420.2	35	12
1973	18	18.5	0	0	35.3	63.4	145.8	223.5			0	10	514.5	51.5	10
1974	0	0	0	0	14.5	0	46.4	151.5	81.2	11.5	10.5	18	333.6	27.8	12
1975	6.5	0	0	0	0	61.3	139.9	121.7	9	5.6	0	19	363	30.2	12
1976	0	0	0	0	0	48.3	207.3	5.5	158.7	19	85	6	529.8	44.1	12
1977	11.5	0	0	0	0	140.5	21	99	0	45	0	0	317	26.4	12
1978	0	0	0	0	13	31.5	138.2	207.1	194.6	58	0	0	642.4	53.5	12
1979	0	0	0	0	4	60.5	99	147	14	0	14.5	52.5	391.5	32.6	12
1980	0	25	0	0	0	0	0	93.2	81.3	41	9.5	6.5	256.5	21.4	12
1981	9.5	6.5	0	0	0	138.5	106	94.8	57.5	6	0	17.5	436.3	36.4	12
1982	0	0	0	10.4	0	17.5	60	47.2	16.5	29.2	49.42	18	248.22	20.7	12
1983	6	0	0	0	80	10	36	265	85.6	34.5	8.5	0	525.6	43.8	12
1984	17	0	0	0	12.8	127.2	134.7	131.8	43.7	26.2	0	10.6	504	42	12
1985	22	0											22	11	2
1987			0	11.6	20.2	70						9.6	111.4	22.3	5
1988	0	0	0	14.3	4.3	103.5	257.9	218.4	44.6	2.9	0	1.7	647.6	54	12
1989	0	0	0	0	0	0	41.7	154	62.2	50.7	52.6	21.8	383	31.9	12
1990	8.61	4.12	2.5	0	3	37.01	183.72	141.24	156.22	57.11	0.02	0	593.55	49.5	12
1991	0	0	0	0	0	18.03	347.55	64.81	90.7	20.82		18.91	560.82	51	11
1992	24.7	93.3	5	3.8	34.92	13.92	57.3	64.6	40.5	20.3	14	5	377.34	31.4	12
1993	0	0	0	3.5	22	46.5	44.1		69.7	14.3	49	0	249.1	22.6	11
1994	7	0	5	21	13.5	41	104	84.5	45	23.5	12.2	15	371.7	31	12
1995	1.7	2	0	0	0	51.1	80.5	158	36.5	0	0	5	334.8	27.9	12
1996	15	1	0	8.5	3.5	59.5	41	132	52.5	86	13	0	412	34.3	12
1997	23.5	12.5	8	4	10	60.8	48.5	22.2	26.03	47.58	24.61	1.5	289.22	24.1	12
1998	0	1	0.21	2	0	27.37	49.56	127.83	66.53	35.47	12.1	0	322.07	26.8	12
1999	0	0	0	0	0	165.9	59.4	28.8	35.2	1.51	0	12.4	303.21	25.3	12
2000	0	1.5	0.3	2.8	28	201.9	51.9	81.4	53.3	21.4	5.63	0.82	448.95	37.4	12
2001	0.54	3.1	15.3	9.15	21.75	31.66		88.86	49.67	21.95	1.52	0.81	244.31	22.2	11
2002	5.6	26.43	0.01	6.13	16.91	40.9	22.62	120.37	98.53	38.32			375.82	37.6	10
2003	3.51	8.21	0.51	1.52	7.06	141.05	117.79	91.92	236.44	42.15	1.01	0	651.17	54.3	12
2005	15.71	51.76	2.54	6	3.62	8.83	85.53	55.01	18.61	33.34	3.62		284.57	25.9	11
2006	38.21	0	0.03	5.2	50.23	71.46	61.6	105.71	138.25	47.59	31.51	26.62	576.41	48	12
2007	8.04	0.31	0.04	5.34	0.09	130.43	139.11	53.5	133.98	0	0.35	0	471.19	39.3	12
2008	0	8.1		29.41	2.48	66.07	113.6	219.78	139.67	1.24	0		580.35	58	10
2009	0.54	0	3.34					64.27	206.96	63.5	16.11	6.5	361.22	45.2	8
2010	5.53	27.82	2.43	0.03	0.39	41.5	175.91	11.26	140.67	0.03	0	0	405.57	33.8	12
2011	0	0	0.02		7.14	7.03	59.62	68.4	41.8	11.62	0		195.63	19.6	10
2012		7.51	0.04		5.26	26.9	44.04	82.84	63.35	11.92	3.03		244.89	27.2	9
2013	6.24	0	0.01	0.02	0.9	11.7	144.34	47.04	198.54	58.07	17.57	31.03	515.46	43	12
2014	7.93	0	2.31	0.02	9.96	135.23	84.89	142.35	173.34	40.95	63.52	3.91	664.41	55.4	12
2015	22.46	64.02	52.94	19.95	2.28	153.97	158.94	37.06	85.55	51.74	1.85	0	650.76	54.2	12
2016	12.42	4.23	0.03	0.03	18.99	41.67	22.39	213.06	19.87	2.11	33.82		368.62	33.5	11
2017	0	0	19.96		1.87	20.93		161.64	115.55	14.03	0.02	20.76	354.76	35.5	10
2018	8.44	20.5			61.28	104.56	48.8	103.18	224.85	42.5	12.7	1.6	628.41	62.8	10
2019	5.62	0	0	0	0	54.2	44.2	81.3	78.5		32.3	25.6	321.72	29.2	11
2020	19.1	8.4	0	6.61	11.18	64.29	306.47	63.23	120.76	0	0	2.2	602.24	50.2	12
2021	0.02	0	0	0.03	59.73	93.65	96.9	164.78	79.76	53.69	0.03		548.59	49.9	11
2022	0	0	0	13.3	0.8	67.5	64.5	177.7	153.4	33.5	0.1		510.8	46.4	11
2023	0	0	157.8	8.8	12.8	14.34	51.9		52.3			0	297.94	33.1	9
2024		45.8	0	0	6	60.7	145.3	1.5					259.3	37	7
MÍNIMA	0	0	0	0	0	0	0	1.5	0	0	0	0	22	11	2
MÁXIMA	44	93.3	157.8	29.41	80	201.9	347.55	265	236.44	86	85	54.7	664.41	62.8	12
MEDIA	7.1	8	6.3	4	12.7	59	92.1	109.2	93.2	27.9	11.5	10	406.6	36.9	10.9
DESV.ST	9.9	17.5	23.2	6.4	17.3	48	70.5	61.9	60.8	21.6	18.4	13.2	144.4	11.7	2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969							34.5						34.5	34.5	1
1999									145.7	168.4	139	134.5	587.6	146.9	4
2000	164.7	189.4	287.5	278.4	292	197.3	278	185.3	168.8	153.2	150.95	122.59	2468.14	205.7	12
2001	150.48	172.4	237.19	299.73	277.37	274.87		218.25	177.81	177.22	147.55	132.83	2265.7	206	11
2002	164	146.85	284.32	270.48	305.54	265.99	97.15	197.15	159.09	179.68			2070.25	207	10
2003	135.06	175.37	266.65	284.65	288.53	238.38	187.56	193.6	115.53	109.83	142.91	135.7	2273.77	189.5	12
2005	131.17	155	257.44	252.73	312.54	340.97	236.03	169.1	175.85	157.45	144.41	13.06	2345.75	195.5	12
2006	142.99	159.18	258.98	316.63	283.78	253.62	209.07	167.05	137.39	126.52	119.6		2174.81	197.7	11
2007			233.39	274.45	315.54	216.67	166.82	185.81	164.77	160.28	140.88	149.32	2007.93	200.8	10
2008	151.37	191.57		259.83	288.27	244.27	196.27	146.89	97.07	122.27	108.31		1806.12	180.6	10
2009	121.95	159.38	209.03					193.03	110.82	133.04	112.6	114.34	1154.19	144.3	8
2010	111.21	101.8	151.08	151.63	286.53	264.44	188.33	222.69	156.92	165.4	148.36	124.92	2073.31	172.8	12
2011	153.26	152.76	230.47		297.79				183.61	163.47	133.9		1315.26	187.9	7
2012			236.55		264.18	259.74	193.53	145.67	142	162.27	121.58		1525.52	190.7	8
2013	124.68	168.71	211.82	263.27	269.67	282.8	174.62	199.92	131.5	136.51	98.23	112.65	2174.38	181.2	12
2014	100.77	171.55	227.11	186.69	245.39	234.18	194.53	146.87	108.52	129.09	82.27	103.74	1930.71	160.9	12
2015	103.26	106.35	130.33	180.97	232.42	172.69	145.56	174.84	147.89	113.18	95.66	134.72	1737.87	144.8	12
2016	104.76	129.26	217.8	218.54	256.74	220.48	202.34	148.33	101.28	87.63	82.08		1769.24	160.8	11
2017	125.07	138.34	174.46		278.77	263.6		155.09	94.03	122.6	115.75	81.31	1549.02	154.9	10
2018	101.25	113.73			261.02	178.14	192.24	174	120.07	114.49	96.47	110.19	1461.6	146.2	10
2019	82.65	156.56	191.6	145.93	280.65	220.79	184.69	217.55	136.76		83.72	94.43	1795.33	163.2	11
2020	89.46	142.62	208.19	268.55	265.92	242.09	190.14	176.5	124.24	163.73	120.18	97.47	2089.09	174.1	12
2021	106.77	147.67	201.81	248.54	226.36	182.59	152.63	141.61	107.35	107.64	92.37		1715.34	155.9	11
2022	95.1	140.97	240.39	257.84	305.84	208.29	218.73	146.81	126.21	110.64	135.91		1986.73	180.6	11
2023			223.01	234.65	242.23	297.98	204.57		173.32			7.2	1382.96	197.6	7
2024		123.78	235.91	238.3	209.8	243.06	274.69	137.62					1463.16	209	7
MÍNIMA	82.65	101.8	130.33	145.93	209.8	172.69	34.5	137.62	94.03	87.63	82.08	7.2	34.5	34.5	1
MÁXIMA	164.7	191.57	287.5	316.63	315.54	340.97	278	222.69	183.61	179.68	150.95	149.32	2468.14	209	12
MEDIA	123	149.7	223.4	243.8	273.3	241	186.8	174.7	137.8	139.3	118.8	104.3	1736.9	172.7	9.8
DESV.ST	25.3	24.9	38.7	47.5	28.2	40.7	52.6	26.7	27.7	26.6	23.5	40.9	547	35.4	2.7

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963								29.6	25.6		23.3	19.1		24.4	4
1964	18.3	21.5	24.6	30.7		31.3	30.9	30.6	28	23.6	24.2	21.3		25.9	11
1965	20.5	21	27.6	29.6	32.5	33.2	29.9	28.5	27.6	25.6	26.4	19.6		26.8	12
1966	17.4	20.6	26.4	28.4	31.7	32.6	31.2	28.3	28.5	26.3	25.2	19.4		26.3	12
1967	18.4	23.6	28.3	32.3	32.4	31.9	30.4	26.4	25.6	23.9	25.7			27.2	11
1968		21.3	23.4	28.6	32.2	33.3	28.6	28.8	25	27.6	24.1	20.1		26.6	11
1969	22.2	23.5	24.8	29.7	31.9	34.9	30.7	29.8	27.3	27.7	24.3	21.4		27.4	12
1970	21.4	22.6	25	31.7	32.6	31	29	30.4	26.9	27.8	23.8	25.7		27.3	12
1971	23.6	25.2	29.3	31.1	33.6	32.1	31	29.1	29.2	27.7	26.1	23.5		28.5	12
1972	22.3	23.7	29.6	33.8	32	31.3	28.8	29.6	27.7	28.4	27.4	25		28.3	12
1973	20.5	24.1	26	29.2	32.3	32.4	30.3	28.1			24.3	23.4		27.1	10
1974	26.2	26.3	30.7	32	35.4	36	31.3	30.1	28.6	27	24.4	20		29	12
1975	19	22.3	28.1	31.8	32.5	33.7	29.4	28.5	27.8	26.4	23.7	19.2		26.9	12
1976	22	23.4	27.5	28.4	33.6	34.8	25.8	27.5	26.5	23.6	18.3	17		25.7	12
1977	19.7	20.4	27.1	27.7	30.7	29.7	29.7	28.9	30.4	28.9	24.4	22.1		26.6	12
1978	20.9	20.7	28.1	26.8	32.1	31.8	29.4	26.3	25.2	22.7	23.2	21.6		25.7	12
1979	18.2	21.3	25.1	29.9	31.1	31.3	30.6	27.8	28.3	27.5	24.3	19		26.2	12
1980	21.9	22.6	26	27.4	32.3	34.9	33.5	30.4	28.4	24.9	20.4	23		27.1	12
1981	20	23	24	26.2	30.7	30.9	30.4	29.2	27.4	28.1	26.1	22.4		26.5	12
1982	23.5	25.5	29.8	31.7	32.2	34.7	29.6	30	29.1	28.5	23.5	20		28.2	12
