COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32038 
 NOMBRE    : NIEVES 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.00138889 ° 
 LONGITUD  : -103.0194444 ° 
 ALTITUD   : 1913 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1942	0	0	0	0	4.2	13.2	47	19.7	31.9	15	5.9	0	136.9	11.4	12
1943	14.5	0	0	0	3.2	47.2	27.7	32.6	65.7	37.5	0	4	232.4	19.4	12
1944	13	0	0.6	0	0	19	7	16	18	16			89.6	9	10
1945	0.8	0	15	0	20	8	11.5	10	11.2	8	0	1	85.5	7.1	12
1946	12	4	0	17.6	0	19	13	22	22	18	18	20	165.6	13.8	12
1947	19	0	5	0.8	1	20.5	13	19	17	12	0	0	107.3	8.9	12
1948	18	0	0	0	0	20	19	4	20	20	9	2	112	9.3	12
1949	0	0	0	0	30	19	19	15	6	6	0	0	95	7.9	12
1950	0	0		0	0	19	17	20	20	0	0	0	76	6.9	11
1951	0	0	4	0	0	19	20	18	20	14	0	14.2	109.2	9.1	12
1952	0	0	0	0	0	17	19	7	0		0	0	43	3.9	11
1953	0	30	0	0	6	6		19		8	20		89	9.9	9
1954	0	0	0	0	5	6	5	10	25	0	0	0	51	4.2	12
1955	0	0	0	0	23	16		12	10	8	0	0	69	6.3	11
1956			0	0	0	0	15	15	0	0	0	0	30	3	10
1957	0	0	0	0	0	0	0	20	0	0	0	0	20	1.7	12
1958	0	0	0	0	0	15	15	17	15	15	0	0	77	6.4	12
1959	0	0	0	0	0	0	15	15	12	10	0	0	52	4.3	12
1960	0	0	0	0	0	0	1.5	16	0	8	0	15	40.5	3.4	12
1961	0	0	0	0	0	20	16	15	18	0	0	0	69	5.8	12
1962	0	0	0	0	0	19	5	21	10	0	0	0	55	4.6	12
1963	0	0	0	0	10	5	12	15	12	0	0	0	54	4.5	12
1964	0	0	0	0	0	20	7	12	12	0	0	0	51	4.2	12
1965	0	0	0	10	0	0	0	5	11	0	0	0	26	2.2	12
1966	0	0	0	0	0	6	15	15	11	0	0	0	47	3.9	12
1967	0	0	1.6	0	0	0.5	1	1	0.3	1.2	0	0.3	5.9	0.5	12
1968	3	5	15	0	0	15	16	67.5	23	20	0	0	164.5	13.7	12
1969	0	0	0	0	0	20	9	13	25	0	0	0.7	67.7	5.6	12
1970	0	0.6	0	0	0	20	20	20	20	0	0	0	80.6	6.7	12
1971	0	0	0	0	20	55	10	40	25	30	0	0	180	15	12
1972	0	0	0	0	46.5	22	21	12	25	6	17	0	149.5	12.5	12
1973	20	3.5	0	0	9.3	21	52	68	15.5	13	0	0	202.3	16.9	12
1974	0	0	4.5	0	0	37.3	7.8	29	13.5	11.5	0	4	107.6	9	12
1975	3.4	0	0	0	1.3	15.5	26.5	35	12	6	0	8.5	108.2	9	12
1976	0	0	0	0	0	34	53.4	24	43	20.5	21.5	11	207.4	17.3	12
1977	6	0	0	0	4	13.5	20	22	5	25	0	0	95.5	8	12
1978	0	0	2.5	2	4.9	2.8	22	13.4	61.3	16.8	0	5.6	131.3	10.9	12
1979	0	0	8	0	0	13	17	11	6.5	0	0	30.8	86.3	7.2	12
1980	5	11	0	0	0	0	39.5	26	16	9	4	7.5	118	9.8	12
1981	9.2	0	0	11	0	38.5	27	23.5	21	6.5	7.5	13	157.2	13.1	12
1982	0	0	0	0	6.5	4.5	20	14.5	12.5	36	43	8.5	145.5	12.1	12
1983	1	0	8.5	0	25	8	44	51	22	17.5	0	0	177	14.8	12
1984	24	1	0	0	6	13	34.5	29.5	9.2	16.3	0	9	142.5	11.9	12
1985	7.6	1	0	2.5	15.8	16.5	19	23.8	7	36.5	0	15	144.7	12.1	12
1986	1	6	0	2.5	63	44	26.5	11	36.5	9.5	2.5	10.6	213.1	17.8	12
1987	70	32.5	0	4.5	6.5	17	32.7	28.3	36.4	5.1	4.1	7.9	245	20.4	12
1988	0	0	0	28.3	7	32.8	20.5	26.6	7		0		122.2	12.2	10
1989	0	0	0	0	0	0	24	40.4	12.5	37	0	28	141.9	11.8	12
1990	4	1	0	0.01	4.9	28.7	40	29.2	13	8.3	0	28	157.11	13.1	12
1991	0	0	0	0.01	0	4.5	30	21	18.5	28.5	5	8	115.51	9.6	12
