COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32045 
 NOMBRE    : RIO GRANDE (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : RÍO GRANDE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.81694444 ° 
 LONGITUD  : -103.0258333 ° 
 ALTITUD   : 1902 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1922						30.5	12.5	17	50	8	0.01	0	118.01	16.9	7
1923	0.01	12.5	8.2	0	2.5	14.2	20.2	30	21.2	30	20	15.5	174.31	14.5	12
1924	0	0	0	0.01	0.01	7.7	9.7	6.5	30.2	0	0	5.7	59.82	5	12
1925	0	0	26	0	1.5	16.5	9.5	25	47.7	7.5	26.5	19.2	179.4	14.9	12
1926	32.7	0	5	4	8.7	25.1	18.5	38.2	17.2	6.2	3.5	0.01	159.11	13.3	12
1927	0	0.01	0	5	0.2	50	36	23	45	80	0	13	252.21	21	12
1928	0.01	0.01	0.01	0	13.5	20	8	18	50	15	16	0	140.53	11.7	12
1929	0.01	0	0	5	0.01	2	12	17.5	11.5	14	9	2	73.02	6.1	12
1930	2	6.5	0.01	12.5	40	10	35	11.5	40	18	25	8	208.51	17.4	12
1931	25	8	0	11.5	14	28	15	29	27.5	3	0.01	14	175.01	14.6	12
1932	6	6	0	0	0.01	0.01	19	18	17	0.01	0	0	66.03	5.5	12
1933	0.01	20	0	0	0.01				28	5	0	0	53.02	5.9	9
1934	4	4.5	2.5			23	32	18	27	14	2	5.5	132.5	13.2	10
1935	15	15	5	0	22	32	29	4.5	46.7	6.2	8.5	0.01	183.91	15.3	12
1936	0.01	0.01	0.01						33			0.01	33.04	6.6	5
1941										2.6	11	25	38.6	12.9	3
1942	11.3	4.5	1.3	3.5	1.5	8	7	5	16.5	20	13.5	0.01	92.11	7.7	12
1943	24	0	0	10.5	0	38.5	79.5	29.5	24	19	12	4	241	20.1	12
1944	6	11	18	0		17	29	25	27	11	21	0.01	165.01	15	11
1945	7	0	6	0	0.01	13	18	16	11.5	0.01	0.01	0.01	71.54	6	12
1946										0	0.01	24	24.01	8	3
1947	34		0	3	26	14	14	27	28	27.5	1	5	179.5	16.3	11
1948	50	0.01	0	16.5	0.01	30	20	17	27	17	0.01	0.01	177.54	14.8	12
1949	2	19	0.01	0.01	5	17	23	25	0.01	22	0.01	0.01	113.05	9.4	12
1950	0.01	0.01	0.01	0.01	2	20	20	39	37	4	0.01	0.01	122.06	10.2	12
1951	0.01	0.01	3	6.8	0.01	25	25	5	50	20	20		154.83	14.1	11
1952	0.01	0.01	0.01	5	0.01	10	135	20	19	7	0.01	0.01	196.06	16.3	12
1953	0.01	25	5	2	20	18	12	22	30	25	43	14	216.01	18	12
1954	0	0	0	0	20	18	16	22	20	0.01	0	0	96.01	8	12
1955	0	0	0	0	0.01	0	23	36	32	0	0	0	91.01	7.6	12
1956	0	0	0	0	12.1	14	0	18	0	22	0	0	66.1	5.5	12
1957	0	0	0	0	6	0	27	8	25	10	0	2	78	6.5	12
1958	7	0	20	0	9	45	17	42	70	30	10	12	262	21.8	12
1959	0	4	8	0	5	15	20	18	32	28	16	0.01	146.01	12.2	12
1960	0	0	0	0.01	0	0	18	16	0.01	0	0	0	34.02	2.8	12
1961	8	0	0	3	5	11	54	26	25	20	0	0	152	12.7	12
1962	15	0	0	7	8	12	9	24	45	14	0	5	139	11.6	12
1963	0	0	0	2	36	38	38	24	35	9	2	20	204	17	12
1964	9	0	0	3	15	17	20	20	7		6	10	107	9.7	11
1965	4	0	0	0	10	25	10	15	8	6			78	7.8	10
1968	0	3	15	0	4	0							22	3.7	6
1969	0												0	0	1
1970	0	13	0		0	20	20	7	47				107	13.4	8
1991	1	2	0	0	2.5	18	22.5	35	29	41	1.5	16	168.5	14	12
1992	35	1	1	2.5	13.5		36	19.5	31.5	14.5	5.5	2.5	162.5	14.8	11
1993	7.5	2	0	0	7	10	13	37	38	1.5	25	5	146	12.2	12
1994	3.5	0	4	17.5	4	15.5	3.5	15	14	11.5	18	7	113.5	9.5	12
1995	5	1	0	0	0	16.5	7.5	26	10	0	0.01	4.5	70.51	5.9	12
1996	0	5	0	6	2	25	16.5	17	14.5	90	24	0.01	200.01	16.7	12
1997	19	14	8.5	14	20	22	12	7.7	9.5	7	16.1	14	163.8	13.7	12
1998	0	6.3	0	0	0	15.5	3	53	24	8	11	0	120.8	10.1	12
1999	0	0	0	1	4.5	24	31	11	10.3	2.8	6.6	6.5	97.7	8.1	12
2000	0	0	0	0	15.5	45.5	20	3.2	16.5	14.5	2.5		117.7	10.7	11
2005	3.7	20	3.5	1.4	0.01	16.5	31	31.5	11	26	4	5.5	154.11	12.8	12
2006	20	0	0	0	15.5	20.5	11	26.5	53.5	20.5	0.01	10.5	178.01	14.8	12
2007	3	0	0	3	0.01	65.2	20	6	25	13.5	6.5	0	142.21	11.9	12
2008	0			3.5	12	27	20	20	20	7	0	0.01	109.51	11	10
2009	0.01	0	2	0.01	10	18	12.5	43	35	30.5	9.5	3	163.52	13.6	12
2010	5	20	0.01	1.7	0.01	12	44	16.2	43.4	0.01	0	0	142.33	11.9	12
2011	0	0	0	0.01	2.3	3.7	33.2	33.8	11.3	13.7	0.01	0	98.02	8.2	12
2012	19	7.3	4.5	1.6	0.01	9.2	28.6	16.8	11.7	3.6	0.6	0.01	102.92	8.6	12
2013	4.6	0	0.01	0.01	2.1	10.3	22.6	31.3	48.6	7.2	9.3	15.8	151.82	12.7	12
2014	9.6	0	0	0	3.3	30.6	18.2	29.3	21	18.6	11.4	3.6	145.6	12.1	12
2015	11.8	46.8	43.8	1.3	5.8	32.1	13.4	4.4	52.6	37.2	5.2	0.01	254.41	21.2	12
2016	1.3	11.7	4.2	0.01	6.3	13.6	25.2	48.5	41.5	3.2	36.6	0.4	192.51	16	12
2017	0	0	12.4	0.01	2.7	22.7	28.7	13.3	22.9	10.9	0	23.7	137.31	11.4	12
2018	7.4	27.3	0	1.7	18.5	44.5	11.9	12.9	29.4	31.4	11.3	0.4	196.7	16.4	12
2019	1.6	0	1.8	0.01	5.3	9.4	20.4	29.8	33.4	2.6	50.8	15.1	170.21	14.2	12
2020	11.4	6.3	0.6	0.01	0.01	34.9	38	21.5	10.6	0	0	0.8	124.12	10.3	12
2021	0.01	0	0	1.2	11.3	32.1	26.2	29.4	143.86	6.1	146.64	1.1	397.91	33.2	12
2022	0	0	0	115	0.01	12	18.5	17.2	37	14	0	0	213.71	17.8	12
2023			0	2.1	3	12	25		13.2				55.3	9.2	6
2024		16	0	0	0	29.2	38.2	20					103.4	14.8	7
MÍNIMA	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	1
MÁXIMA	50	46.8	43.8	115	40	65.2	135	53	143.86	90	146.64	25	397.91	33.2	12
MEDIA	6.3	5.1	3.1	4.2	6.9	19.9	23.3	21.8	29	14.5	10.1	5.2	136.7	12.2	10.9
