COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32049 
 NOMBRE    : SAN FRANCISCO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.32472222 ° 
 LONGITUD  : -102.885 ° 
 ALTITUD   : 1680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944					17.5	20	18.5	46.5	26	16	20	5	169.5	21.2	8
1945	6.5	6	6	0.01	8.5	11	24.5	8.5	16	5.5	0.5	1.5	94.51	7.9	12
1946	10.5	1	1	11.5	12	29.5	15	18	11	5.5	22.5	16	153.5	12.8	12
1947	15	0.01	0	2.5	7	32	7.5	35.5	45	31	1.5	1	178.01	14.8	12
1948	24	0.01	4	0.01	24	65.5	39	4.5	23.5	9.5	3.5	0.01	197.53	16.5	12
1949	0.01	7	0	0.01	4.5	8.5	25.5	40	13.5	23.5	0	0.01	122.53	10.2	12
1950	0.01	0.5	3.5	5.5	17	17.5	24	15	16	3.5	0.01	0.01	102.53	8.5	12
1951	0.01	0	6	0.01	1.5	21	13	22	45	21	12	7	148.52	12.4	12
1952	0	0	0	3	0.01	19	17	11.5	3	0.01	0.01	0.01	53.54	4.5	12
1953	0	30	0.01	1	18	11	20	45	41	25	13	11.5	215.51	18	12
1954	2.5	7.5	0.01	1	10	10.5	16	13.5	3	12.5	0.01	3.5	80.02	6.7	12
1955	2.5	0.01	4.5	0.01	7	20	29.5	37	12.5	11.5	1.5	0	126.02	10.5	12
1956	0	0.01	0	2	47.5	9.5	19	7	13	8	12	1.5	119.51	10	12
1957	0.5	1	1	1	10.5	0.5	5.5	12	34	11	1	3	81	6.8	12
1958	10.5	2.5	11.5	3	12.5	18	11	19	28	35	19	9	179	14.9	12
1959	2.5	8.5	0	17.5	2.5	25	74	42	12	34.5	4.5	4.5	227.5	19	12
1960	5	0.01	0	0.01	2	4	5.5	25	10.5	26	0.01	14	92.03	7.7	12
1961	5.5	0	0	6.5	10	10.5	48.5	58.5	19.5	18	0	0.5	177.5	14.8	12
1963	0	0	2.5	5	11	3.5	15	50	21	6.5	2.5	17	134	11.2	12
1964	5.5	0	0	0	16	7.5	11	12.5	41	19.5	1.5	13.5	128	10.7	12
1965	2	3	0	21	6.5	8	10.5	23.5	31	0	3	32	140.5	11.7	12
