COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32050 
 NOMBRE    : SAN GIL 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.19583333 ° 
 LONGITUD  : -102.9783333 ° 
 ALTITUD   : 1829 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969							8	19	13.5	6	14.5	14.5	75.5	12.6	6
1970	5.5	13	0	0	1	24	19.5	17	10		0	0	90	8.2	11
1971	3	0	0	0	3								6	1.2	5
1972			0	0		25	24	16	32	9.5	18.5	0	125	13.9	9
1973	20	9	9	0	25	28	22.5	26	28.3	14	0	0	181.8	15.2	12
1974	0	0	2	14	13	7.3	29	5	9	12.5	3	8	102.8	8.6	12
1975	8	0	0	0	0	8	32	23	8	3	0	6	88	7.3	12
1976	0	0	0	2	0	11	36	12	41	9	21	2	134	11.2	12
1977	0.3	0	0	0	0	8	11	13	13	6	3	0	54.3	4.5	12
1978	0	0	0.5	5	2.5	0.6	20	20	30.5	0.8	0	0.7	80.6	6.7	12
1979	0	0.2	0	3	0	7	16	14	2	0	0.4	3	45.6	3.8	12
1980			0	0	0	0.3	17			13	0.3	5	35.6	4.4	8
1981	2		5		15		14	33		9	4	11	93	11.6	8
1982		0	0	4	0.3	17	11	5	16	3	0		56.3	5.6	10
1983	6	0	7	0	25	19	25	20	12	9	4	0	127	10.6	12
1984	3	0	0	0	15	20	44	5	18				105	11.7	9
1985							4	30	13	8	0	12	67	11.2	6
1986	6	0	0	10	9	21	12	1.2	11				70.2	7.8	9
1987	30	23	0	3	18	41	26	22	21	3	5	31	223	18.6	12
1988	0	0	0	9	4	42	27	25	35	0	0	4	146	12.2	12
1989	0	7	0	0	0			28	35	4	23	20	117	11.7	10
1990	0.2	2	0	0						20	0	0	22.2	3.2	7
1991	0	6	0	0	2	31	25	14	24	13	9.5	5	129.5	10.8	12
1992	26	0	2	0	23	2.5	22	9	13.6	6.5		3	107.6	9.8	11
1993	0.2	0	1			2.7	11.2	21.9	20	2	20	0	79	7.9	10
1994	16	0	8	16	3	38	23	14.5	19	12	11.5	10	171	14.2	12
1995	2.5	0	0	0	1	14.7	13	57	13	5	1.5	2	109.7	9.1	12
1996	0	2	0	0	5	42	11	36	32	68	12	0.5	208.5	17.4	12
1997	14	10.3	3	12	2.5	10	28	7	34.5	24	15	2.1	162.4	13.5	12
1998	0	1	0	0		13.5	8	48	7.5	16	7	0	101	9.2	11
1999	0	0	0	0	0.5	15	15	9	7	1	0	7	54.5	4.5	12
2000	0	4	0	0	7.5	31	20.5	13.5	40	14	4	0.4	134.9	11.2	12
2001	2	0.5	9	4	5	5	37	25	24.5	7		1	120	10.9	11
2002	4	17.5	0	2	4	76	4	14	41		7	0	169.5	15.4	11
2003	1		0	2.5	9	21.5	28	11.5	26	24	0	0	123.5	11.2	11
2004	29	0	21	10	11.5	27	26	30.5	52	3			210	21	10
2005	2	20	0.5	9.5	0	4	34	26	6.5		2	0	104.5	9.5	11
2006	28	0	0	0	8	10.5	10	28	15	21	6	11	137.5	11.5	12
2007	3	1.5	0	2	0.5	46	29	12.5	20	2.5	0	0	117	9.8	12
2008	0	0.5	0	0.5	2.5	45	26.5	23	28	6.5	0	0	132.5	11	12
2009	0	0	1	0	11.5	35	14.5	48	25	1	9	3	148	12.3	12
2010	1.5	14	1	1	2	6	21.5	19	21.5	0	0	0	87.5	7.3	12
2011	0	0	0	0	3	13	10.5	21	15	15	0	0	77.5	6.5	12
2012	12	4	0	16	4	16	20	58	60	27	13	0.5	230.5	19.2	12
2013	3.5	0	0	0	9	16	52	20.5	44	7	3.5	13	168.5	14	12
2014	6.5	0	14.5	0	11	26	17.5	20	32	6.5	22	3	159	13.2	12
2015	8	80	64	11	87	19.5	23	9.5	18	34	1.2	0	355.2	29.6	12
2016	1.8	0	3	0	15.5	14.5	9.5	37.3	37	4.3	10.3	2	135.2	11.3	12
2017	0	0	13.7	0	19.3	4.2	17.6	24.5	42	3.2	0	17	141.5	11.8	12
2018	16.2	8.5	8.7	3.8	11.7	43	10.6	18.3	45.9	15.7	12.7	0	195.1	16.3	12
2019	1.5	0			4.9	28.3	20	6.7	15.8	10.7	42.1	17	147	14.7	10
2020	17.5	23	0	0	3.1	61.5	58.2	3.2	9.5	0	0		176	16	11
2021	0	0	0	4	14	12	32.8	28.4	32	9.8	3.9	1.3	138.2	11.5	12
2022			0	6.5	0.8	14.7	5.6		61.4	15.1		0	104.1	13	8
MÍNIMA	0	0	0	0	0	0.3	4	1.2	2	0	0	0	6	1.2	5
MÁXIMA	30	80	64	16	87	76	58.2	58	61.4	68	42.1	31	355.2	29.6	12
MEDIA	5.8	5.3	3.4	3.1	8.6	21.3	21.2	21	24.6	10.5	6.6	4.5	123.7	11.2	10.8
