date,rain,evap,t_max,t_min,month,year
1921-01-01,0.0,,13.8,5.4,1,1921
1921-01-02,0.0,,11.8,3.7,1,1921
1921-01-03,0.0,,14.8,2.4,1,1921
1921-01-04,0.0,,11.4,4.4,1,1921
1921-01-05,0.0,,15.6,5.7,1,1921
1921-01-06,0.0,,15.8,3.9,1,1921
1921-01-07,0.0,,18.4,4.0,1,1921
1921-01-08,0.0,,18.6,4.4,1,1921
1921-01-09,0.0,,15.6,3.4,1,1921
1921-01-10,0.0,,16.5,2.1,1,1921
1921-01-11,0.0,,14.8,2.3,1,1921
1921-01-12,0.0,,16.4,5.4,1,1921
1921-01-13,0.0,,14.4,1.1,1,1921
1921-01-14,0.0,,11.4,-1.9,1,1921
1921-01-15,0.0,,11.3,-1.5,1,1921
1921-01-16,0.0,,12.0,2.4,1,1921
1921-01-17,0.0,,14.3,-2.0,1,1921
1921-01-18,0.0,,13.3,0.0,1,1921
1921-01-19,0.0,,13.2,-1.0,1,1921
1921-01-20,0.0,,12.3,-0.2,1,1921
1921-01-21,0.0,,19.2,4.3,1,1921
1921-01-22,0.0,,18.6,2.4,1,1921
1921-01-23,0.0,,13.6,7.4,1,1921
1921-01-24,0.0,,15.6,5.9,1,1921
1921-01-25,0.0,,15.9,5.8,1,1921
1921-01-26,0.0,,13.4,13.1,1,1921
1921-01-27,0.0,,15.6,3.8,1,1921
1921-01-28,0.0,,16.0,2.9,1,1921
1921-01-29,0.0,,15.9,2.0,1,1921
1921-01-30,0.0,,16.9,-0.4,1,1921
1921-01-31,0.0,,12.2,0.3,1,1921
1921-02-01,0.0,,15.6,3.5,2,1921
1921-02-02,0.0,,12.4,0.0,2,1921
1921-02-03,0.0,,12.9,1.7,2,1921
1921-02-04,0.0,,15.7,-0.3,2,1921
1921-02-05,0.0,,14.3,2.4,2,1921
1921-02-06,0.0,,14.5,0.7,2,1921
1921-02-07,0.0,,11.9,5.6,2,1921
1921-02-08,0.0,,12.5,1.6,2,1921
1921-02-09,0.0,,9.6,-2.3,2,1921
1921-02-10,0.0,,9.6,-3.0,2,1921
1921-02-11,0.0,,10.7,-2.9,2,1921
1921-02-12,0.0,,13.7,-1.8,2,1921
1921-02-13,0.0,,18.1,-6.9,2,1921
1921-02-14,0.0,,18.0,4.6,2,1921
1921-02-15,0.0,,18.6,2.8,2,1921
